BAS_DD,k_ratio,k_score,atr,natr,atr_percentile,technical_direction
2023-10-22,-0.7717458472202017,-0.43558496182228396,0.2547669381066492,0.0014263068979210008,0.9129860031104199,-0.43558496182228396
2023-10-23,-0.8085136696885502,-0.4470597503572018,0.27085501395617556,0.001520461513170403,0.9259057689317369,-0.4470597503572018
2023-10-24,-0.8451601221761614,-0.45804161493550427,0.30722251295930597,0.0017170943044897496,0.9540578358208955,-0.45804161493550427
2023-10-25,-0.8755943879813447,-0.4668356834463154,0.28742090489078415,0.001606690731124066,0.9391419244520441,-0.4668356834463154
2023-10-26,-0.9157774367546961,-0.4780186984068525,0.3068908402557263,0.0017209153830299237,0.9550046627292509,-0.4780186984068525
2023-10-27,-0.9533403546637976,-0.4880564477089725,0.36782720880888853,0.002049290817365249,0.9814296814296815,-0.4880564477089725
2023-10-28,-0.9910258302307762,-0.4977463452173838,0.3429824081796809,0.0019106590617775105,0.9717992541951522,-0.4977463452173838
2023-10-29,-1.0292196508809772,-0.5071997259804506,0.3199122361668473,0.0017819430522299743,0.9617057635544508,-0.5071997259804506
2023-10-30,-1.048819123253025,-0.5119139661229617,0.3156327907263575,0.0017606559420224105,0.9573625349487418,-0.5119139661229617
2023-10-31,-1.0647488807890222,-0.5156796018613845,0.29380187710304767,0.0016389706409854273,0.9426153129367915,-0.5156796018613845
2023-11-01,-1.073409159749772,-0.5177025261522987,0.299958885881401,0.0016697778105177077,0.946972049689441,-0.5177025261522987
2023-11-02,-1.0694581960502378,-0.5167817345097392,0.31496182260415945,0.0017483309608890337,0.956140350877193,-0.5167817345097392
2023-11-03,-1.0542753246546495,-0.5132103335914269,0.3253216924181486,0.0018012385383874016,0.9639087239987582,-0.5132103335914269
2023-11-04,-1.0376777038396123,-0.5092452559520615,0.30351300010256527,0.0016803022759373596,0.9482383982616793,-0.5092452559520615
2023-11-05,-1.0197735432625956,-0.5048949901657428,0.28326207152381133,0.0015680158955096116,0.9313314711359404,-0.5048949901657428
2023-11-06,-0.966250825937131,-0.4914178868693459,0.2894576378435394,0.001599036779601919,0.9350659425911559,-0.4914178868693459
2023-11-07,-0.9142115559670515,-0.4775917025039564,0.282353520854715,0.0015581563978517466,0.9301116971765436,-0.4775917025039564
2023-11-08,-0.8513878168963998,-0.45986465349201433,0.2850425550793777,0.0015702228561635966,0.9315185357530634,-0.45986465349201433
2023-11-09,-0.7774408965884123,-0.43739338848375675,0.31611094400227924,0.0017344907764185419,0.9552574441687345,-0.43739338848375675
2023-11-10,-0.7253520132258364,-0.4204081298573203,0.3028173051449733,0.0016627350381340506,0.945340362846953,-0.4204081298573203
2023-11-11,-0.6774102819038573,-0.4038429293130349,0.2826160690631882,0.001551641973554344,0.9286046511627907,-0.4038429293130349
2023-11-12,-0.632646290840664,-0.38749746003766,0.2645720641301034,0.0014523360823961325,0.9134242753061541,-0.38749746003766
2023-11-13,-0.6189707374453477,-0.38232361038350304,0.26710263097795195,0.0014686459062954414,0.9156075635461872,-0.38232361038350304
2023-11-14,-0.5834607515996784,-0.3684718746645548,0.2515953001938113,0.0013829996712500623,0.9027584069425073,-0.3684718746645548
2023-11-15,-0.5129915797757878,-0.3390577889744824,0.32362420732282615,0.0017667005531325807,0.9585528354508832,-0.3390577889744824
2023-11-16,-0.4324896020278412,-0.30191465363211445,0.3262224782283375,0.0017773917305673832,0.9604182804027885,-0.30191465363211445
2023-11-17,-0.3697671420539724,-0.2699489064247116,0.3157780154977404,0.0017221750408908181,0.9539188351920694,-0.2699489064247116
2023-11-18,-0.31316885288755203,-0.23848330867650347,0.29465101439075764,0.0016067783530960718,0.937045067368747,-0.23848330867650347
2023-11-19,-0.2613661965320618,-0.20720881632205554,0.2750330847914185,0.0014996351406293268,0.9200216785382471,-0.20720881632205554
2023-11-20,-0.20541424503505398,-0.17040967109948202,0.28467357873488836,0.001548738255453394,0.9270010837590958,-0.17040967109948202
2023-11-21,-0.1497716025899677,-0.1302620470470772,0.2857683231109686,0.0015521607903479907,0.9280959752321981,-0.1302620470470772
2023-11-22,-0.09797341743381544,-0.08923113791115181,0.2896420143173283,0.0015761115215613445,0.9313573750193469,-0.08923113791115181
2023-11-23,-0.04685758424632422,-0.044760228087814755,0.29109615615180495,0.001581356780485685,0.9322965026307645,-0.044760228087814755
2023-11-24,-0.004591428231909581,-0.004570443369191929,0.30387500214096164,0.0016550024625072797,0.9439114962091908,-0.004570443369191929
2023-11-25,0.0364751993108953,0.035191579436870256,0.2835982162737488,0.001544400241103027,0.9256652227722773,0.035191579436870256
2023-11-26,0.07662401085345887,0.07117063160491624,0.26476977225419607,0.0014417085339188459,0.9105181747873163,0.07117063160491624
2023-11-27,0.11601257674203308,0.10395275031819777,0.25014335995032505,0.0013616208151452018,0.8975409836065574,0.10395275031819777
2023-11-28,0.15505810807825868,0.13424269047055856,0.26441883423958673,0.0014358103509968872,0.9093087985155405,0.13424269047055856
2023-11-29,0.20030578240435729,0.166878961461904,0.30838891750818737,0.001666606774255228,0.9455009276437848,0.166878961461904
2023-11-30,0.24286172982681062,0.19540526834039113,0.31350399482903085,0.001697736352372094,0.9504560210233421,0.19540526834039113
2023-12-01,0.27848436750640215,0.21782383467821917,0.2975394237698146,0.0016104975576174,0.9373261205564142,0.21782383467821917
2023-12-02,0.3133897997868676,0.23861141592368346,0.2777151792148286,0.001503031764977153,0.9191006026889198,0.23861141592368346
2023-12-03,0.3477695150663577,0.25803337379183505,0.2593069521280538,0.0014032520814332692,0.9038164400494437,0.25803337379183505
2023-12-04,0.3829558405537286,0.2769111126501299,0.27864216983319295,0.001503573115870888,0.9191255986405067,0.2769111126501299
2023-12-05,0.4223442337635307,0.29693531547282725,0.2873105862736796,0.0015470094027228065,0.9257800432499228,0.29693531547282725
2023-12-06,0.4594017954307574,0.31478774170971896,0.2896455443969877,0.0015568992926090503,0.927953667953668,0.31478774170971896
