month,signal_month,return,core_return,growth_return,nav,drawdown,turnover,meta_switch_turnover,meta_switch_cost,w_stage10_core,w_unlevered_vix6_growth,w_option,gross_exposure,solver_success,used_grid_fallback,solver_status,solver_message,solver_iterations,risk_state,relative_momentum_6m,growth_cap,growth_lower_bound,growth_upper_bound,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_log_growth,historical_cdar,sharpe_slack,cdar_slack,option_return,option_reallocation_cost,option_trade_available
2009-08,2009-07,0.004976853389605764,0.0019204792113365,0.008283227567875029,1.543194340026154,-0.04412680560447946,0.2621569674944204,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Normal_NegativeMomentum,-0.013114579042627583,0.5,0.5,0.5,0.1870102072809717,0.1278278987021536,1.4629842873089567,0.17884022143766767,-0.07296625430937591,0.41298428730895664,0.057033745690624096,,0.0,False
2009-09,2009-08,0.013725130627325938,0.0056807389068687,0.021769522347783177,1.564374883926363,-0.031007321148241673,0.004140145131360794,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.07570724695259257,0.5,0.25,0.5,0.18512916079952685,0.12366563203548249,1.4970138247173561,0.17748256652615918,-0.07296625430937591,0.44701382471735607,0.057033745690624096,,0.0,False
2009-10,2009-09,-0.010238687313002629,0.0043865959054489,-0.014805610843972805,1.5483577386495262,-0.04092853419559361,0.2558647154052462,0.25,0.000125,0.24994318957510367,0.749829568725311,0.0002272416995853,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.0019519666208993591,0.75,0.25,0.75,0.2120488871021973,0.15444448759055338,1.372978022138016,0.200122337228643,-0.09114804482220369,0.32297802213801585,0.03885195517779631,-0.4741602067183462,6.817250987559535e-07,True
2009-11,2009-10,0.0223536525204268,0.0168370591777096,0.0224786525204268,1.5829691895166116,-0.019489783906745384,0.2757559940861403,0.25,0.000125,0.0,1.0,0.0,1.0,True,False,0,Optimization terminated successfully,3,Normal,0.04487929216534137,1.0,0.5,1.0,0.24,0.18733555877485075,1.2811235708242876,0.2224526942092572,-0.11010991344373744,0.23112357082428758,0.019890086556262565,,0.0,False
2009-12,2009-11,0.02142719220391149,-0.0039432679245596,0.03005067891340185,1.6168877745932542,0.0,0.39408782259915465,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Alert,0.04263487134470112,0.75,0.75,0.75,0.2120219048480268,0.1459883927849098,1.4523202893288008,0.20136559943406623,-0.0884658925277492,0.4023202893288007,0.04153410747225081,,0.0,False
2010-01,2009-12,-0.014402702431719176,0.0036769220683941,-0.020429243931756935,1.5936002211103029,-0.01440270243171915,0.009128120502766885,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.08009424422842826,0.75,0.5,0.75,0.2107045657860377,0.14117965870685792,1.4924569708979083,0.20073871776974525,-0.0884658925277492,0.44245697089790825,0.04153410747225081,,0.0,False
2010-02,2010-01,0.008704112543249716,0.0111760455875765,0.0022883134102693603,1.6074710967837944,-0.00582395263136215,0.5100784406708894,0.5,0.00025,0.75,0.25,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Crisis,0.017846755875955633,0.25,0.25,0.25,0.15038206842923948,0.07909326973255386,1.9013257251564097,0.14725419577074622,-0.04935684231412829,0.8513257251564097,0.08064315768587171,,0.0,False
2010-03,2010-02,0.023470320079252836,0.0138961295510734,0.03329451060743227,1.6451989579434576,0.0,0.2564476289312265,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.0025337485330161336,0.75,0.0,0.5,0.17899675549370272,0.1036149185123552,1.7275191455404066,0.17362872982454172,-0.06896355323813261,0.6775191455404066,0.0610364467618674,,0.0,False
2010-04,2010-03,0.01872484042110959,0.0086047275873091,0.022264878032376423,1.6760050458919247,0.0,0.2587308330575815,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,3,Normal,0.0056268178675229485,1.0,0.25,0.75,0.2105458137090993,0.13088683241423074,1.6086095891049128,0.20198013225938385,-0.0884658925277492,0.5586095891049128,0.04153410747225081,,0.0,False
2010-05,2010-04,-0.008649662124960449,0.0031937973276625,-0.012597481942501432,1.6615081685252306,-0.008649662124960433,0.001529412093257681,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.039102202622851134,0.75,0.5,0.75,0.21041975710211147,0.1267064115267687,1.6606875261214151,0.20239249974111603,-0.0884658925277492,0.6106875261214151,0.04153410747225081,,0.0,False
2010-06,2010-05,0.013901821643421408,0.0044260302074417,0.017060418788747977,1.6846061587431562,0.0,0.021157977572274667,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.01710262220691683,0.75,0.5,0.75,0.20374868573438548,0.12422350528481198,1.640178203531152,0.19603294610176264,-0.0884658925277492,0.590178203531152,0.04153410747225081,,0.0,False
2010-07,2010-06,0.00861645975552562,0.0018747686416522,0.01560815086939904,1.6991214999138773,0.0,0.25212234342821227,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Alert_NegativeMomentum,-0.0040923914483459445,0.5,0.5,0.5,0.17445451935199852,0.09247687982932559,1.886466321895484,0.17017853270051475,-0.06896355323813261,0.836466321895484,0.0610364467618674,,0.0,False
2010-08,2010-07,0.009947209249190675,0.0129850759841437,0.009101253670873,1.716023017013319,0.0,0.25953291534941514,0.2499999999999999,0.00012499999999999995,0.2500000000000001,0.7499999999999999,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.03440334354958474,0.75,0.25,0.75,0.20137736973876627,0.11646319990576116,1.7291073051548929,0.19459553127262164,-0.0884658925277492,0.6791073051548928,0.04153410747225081,,0.0,False
2010-09,2010-08,0.038655850458902,0.0166545448488055,0.038780850458902005,1.78235734614302,0.0,0.2571897981456163,0.25,0.000125,1.1102230246251565e-16,0.9999999999999999,0.0,1.0,True,False,0,Optimization terminated successfully,3,Normal,0.039574745363003094,1.0,0.4999999999999999,0.9999999999999999,0.2270461841886483,0.14038735917079512,1.6172836751806419,0.2171918788811734,-0.10825471417349983,0.5672836751806418,0.021745285826500177,,0.0,False
2010-10,2010-09,0.0059461474971067565,-0.0019818237535738,0.005946147497106757,1.7929555058157383,0.0,0.006964396489357927,0.0,0.0,1.1102230246251565e-16,0.9999999999999999,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal,0.04225885131769247,1.0,0.7499999999999999,1.0,0.23298031562214183,0.1374597589239657,1.6948983283974202,0.22353272296042445,-0.10825471417349983,0.6448983283974201,0.021745285826500177,,0.0,False
2010-11,2010-10,0.022131220608515377,0.0105813709192916,0.02614783717158997,1.8326357996561986,0.0,0.2535519837103607,0.2499999999999999,0.00012499999999999995,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.03650030060656939,0.75,0.7499999999999999,0.75,0.20058749423200029,0.1074904422865981,1.8660960915685945,0.19481039664051605,-0.08581622438354489,0.8160960915685944,0.04418377561645512,,0.0,False
2010-12,2010-11,0.006561085706544627,0.0030395492450795,0.020530309230449628,1.8446598802066247,0.0,0.6094204775421598,0.5,0.00025,0.7490909644422835,0.24969698814742783,0.0012120474102887,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Crisis,0.06929783173119364,0.25,0.25,0.25,0.14433760394273204,0.05977159456413614,2.414819363533206,0.1425512821843623,-0.043877593797454685,1.3648193635332058,0.08612240620254533,-0.4858196256381168,3.6361422308663926e-06,True
2011-01,2010-12,-0.007918436335338577,-0.0081777819562171,-0.007409090714460054,1.8300530583848553,-0.007918436335338619,0.4587102068430341,0.24999999999999994,0.00012499999999999998,0.5,0.49999999999999994,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.07442905093518726,0.75,0.0,0.5,0.17257554349094278,0.07808454660238283,2.210111360058489,0.16952694528189294,-0.06453038271873957,1.1601113600584891,0.06546961728126044,,0.0,False
2011-02,2011-01,-0.01202779476812907,0.0050069986844769,-0.017539392585664393,1.8080415557838152,-0.01985098977634181,0.2591573008008555,0.25000000000000006,0.00012500000000000003,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.060721727179793517,0.75,0.24999999999999994,0.75,0.19534583213775875,0.0997576844031625,1.9582033535209638,0.19037003433901825,-0.08581622438354489,0.9082033535209637,0.04418377561645512,,0.0,False
2011-03,2011-02,0.0253058884647497,0.0120111457512387,0.029737469369253366,1.853795653734113,0.0,0.522626658266864,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.040916339942268065,0.75,0.5,0.75,0.18771610895001256,0.09886539851377102,1.8987038111606405,0.18282892543836918,-0.08581622438354489,0.8487038111606404,0.04418377561645512,,0.0,False
2011-04,2011-03,0.013155173272866125,0.008340974472341,0.028597769674441498,1.8781826567714712,0.0,0.5098806448697416,0.5,0.00025,0.75,0.25,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Crisis,0.03658881330976915,0.25,0.25,0.25,0.13583081281568044,0.05556591201315851,2.4444989363895346,0.1342870275267534,-0.043877593797454685,1.3944989363895346,0.08612240620254533,,0.0,False
2011-05,2011-04,-0.017769331575091727,0.0053827682372933,-0.04067143138747675,1.8448086063847122,-0.01776933157509175,0.26440126080348425,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.04907949808110357,0.75,0.0,0.5,0.16444327444898404,0.07267526689846854,2.262713044848127,0.16180242723960223,-0.06453038271873957,1.2127130448481271,0.06546961728126044,,0.0,False
2011-06,2011-05,-0.024639813256999737,-0.0027206063711433,-0.04655902014285618,1.799352866828487,-0.0419713118203795,0.015436897801108506,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.01416168229671777,0.5,0.25,0.5,0.1563394536577725,0.07429809672854179,2.104218823114406,0.15357935006903062,-0.06453038271873957,1.0542188231144058,0.06546961728126044,,0.0,False
2011-07,2011-06,0.017170290314744267,0.0087373524188954,0.025603228210593132,1.8302482779305997,-0.02552168111448172,0.012052731377907619,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.07365062454749538,0.5,0.25,0.5,0.1467377108199145,0.07723775118281742,1.8998185287994023,0.14375487571602508,-0.06128474409829262,0.8498185287994022,0.06871525590170738,,0.0,False
2011-08,2011-07,0.051891156800553104,0.0136708610879532,0.090111452513153,1.925221978304639,0.0,0.2623011550979929,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert_NegativeMomentum,-0.05889164486921816,0.5,0.25,0.5,0.14805694227527105,0.07535179994525745,1.9648759868089862,0.145217995397776,-0.06128474409829262,0.9148759868089862,0.06871525590170738,,0.0,False
2011-09,2011-08,-0.003827160912601212,-0.0069277898263565,0.005974725828664651,1.9178538440011907,-0.0038271609126011574,0.27081859281080956,0.25,0.000125,0.75,0.25,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Crisis,0.03530308713180674,0.25,0.25,0.25,0.13197455467000685,0.056172551940925894,2.3494491546119973,0.13039687687422885,-0.03985251501511489,1.2994491546119973,0.09014748498488512,,0.0,False
2011-10,2011-09,0.0015508565903231885,0.0097452142754476,-0.02303221646505005,1.9208281602744368,-0.0022822397000014094,0.012807296469958998,0.0,0.0,0.75,0.25,0.0,1.0,True,False,0,Optimization terminated successfully,1,Crisis,0.030700601566005625,0.25,0.0,0.25,0.1284182019099148,0.055434670953495045,2.3165683082640953,0.12688170053805367,-0.03985251501511489,1.2665683082640953,0.09014748498488512,,0.0,False
2011-11,2011-10,0.017346020752787635,0.0103629720487312,0.03829516686495693,1.954146885405096,0.0,0.009443615635029778,0.0,0.0,0.75,0.25,0.0,1.0,True,False,0,Optimization terminated successfully,1,Crisis_NegativeMomentum,-0.022396369482597378,0.25,0.0,0.25,0.12626042095863502,0.05404392457396665,2.3362555912428236,0.12480004806695671,-0.03985251501511489,1.2862555912428235,0.09014748498488512,,0.0,False
2011-12,2011-11,-0.031068780050972394,-0.0039888597582206,-0.0565659184945847,1.8934339256351524,-0.031068780050972356,0.2769510162001462,0.25,0.000125,0.499375,0.499375,0.00125,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.052859150367480456,0.75,0.0,0.5,0.1529245957428215,0.07700301285094797,1.9859560045894862,0.14995986374875986,-0.06128474409829262,0.9359560045894861,0.06871525590170738,-0.5605151287821956,3.75e-06,True
2012-01,2011-12,0.044157325447541286,0.0116180983935603,0.05517040113220162,1.9770429037028396,0.0,0.2764254150855377,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.043135371542543544,0.75,0.25,0.75,0.16416602666773092,0.10983429380785777,1.4946700249643354,0.1581342406195955,-0.08370111080469549,0.4446700249643354,0.04629888919530452,,0.0,False
2012-02,2012-01,-0.006708205981409345,0.0031601360465516,-0.009997653324062994,1.9637804926707174,-0.00670820598140931,0.020612595237617316,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.07015184649440998,0.75,0.5,0.75,0.1714052512207393,0.1105376349895063,1.5506506108712326,0.16529596684620262,-0.08370111080469549,0.5006506108712325,0.04629888919530452,,0.0,False
2012-03,2012-02,-0.004455545334707968,-0.0009170558780454,-0.007744034791370535,1.955030779658208,-0.011133862600252509,0.2610629761818743,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Alert_NegativeMomentum,-0.01794135348421233,0.5,0.5,0.5,0.14434552834330272,0.0800584775568433,1.8030011655019818,0.14114084842894292,-0.06128474409829262,0.7530011655019817,0.06871525590170738,,0.0,False
2012-04,2012-03,0.0033402763063703858,0.0063900276558105,0.00029052495693027147,1.9615611226497252,-0.00783077647132413,0.19902613157250898,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert_NegativeMomentum,-0.03716170198580648,0.5,0.25,0.5,0.14068651581949318,0.0783687330369037,1.795186809428757,0.13761568666058843,-0.06128474409829262,0.745186809428757,0.06871525590170738,,0.0,False
2012-05,2012-04,-0.010575720224628658,0.0016773989053146,-0.022828839354571917,1.9408162010130732,-0.018323680594850456,0.005245418894709413,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.010889646838721623,0.5,0.25,0.5,0.13887474502982883,0.07614394121951015,1.8238449810402686,0.1359757951376087,-0.05850826519811319,0.7738449810402686,0.07149173480188681,,0.0,False
2012-06,2012-05,-0.003032497008747113,-0.0013100857082426,-0.0047549083092516264,1.934930681688973,-0.02130061109700443,0.01236233474453052,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert_NegativeMomentum,-0.061046460643249034,0.5,0.25,0.5,0.13401444375612853,0.07530769389036451,1.7795584598730547,0.1311788193765861,-0.05850826519811319,0.7295584598730547,0.07149173480188681,,0.0,False
2012-07,2012-06,0.0166741338899856,0.0190870643431182,0.014261203436852998,1.967193974943296,-0.004981646448388832,0.003915421404692535,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.01213836641893562,0.5,0.25,0.5,0.1309689224580299,0.0734879991056258,1.7821810914974785,0.12826867945175568,-0.05850826519811319,0.7321810914974785,0.07149173480188681,,0.0,False
2012-08,2012-07,0.012193084738138594,0.0099675794836024,0.01381230818473389,1.9911801377761353,0.0,0.0021163994743374132,0.0,0.0,0.49980808065989174,0.49980808065989174,0.0003838386802165,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.05739739940661037,0.5,0.25,0.5,0.13231884897913518,0.07188803454264905,1.8406241013674438,0.12973490422393263,-0.05850826519811319,0.7906241013674438,0.07149173480188681,0.8046511627906976,1.1515160406496985e-06,True
2012-09,2012-08,0.015039684747248183,0.0062022570154326,0.023877112479063767,2.021126859323271,0.0,0.002988941206245607,0.0,0.0,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal_NegativeMomentum,-0.04123360872544468,0.5,0.25,0.5,0.13259515616726247,0.06993488904705823,1.895980074809885,0.1301497118142503,-0.05850826519811319,0.8459800748098849,0.07149173480188681,,0.0,False
