month,average_vkospi_stress,maximum_vkospi_stress,maximum_crisis_score,maximum_pre_crash_score,last_source_date,signal_month
2012-03,0.004873898369886205,0.0535269469348753,0.0991847123392722,1.0,2012-02-28,2012-02
2012-04,0.0015680726246978455,0.0183747650801078,0.0005197800389959,0.9986669808145716,2012-03-29,2012-03
2012-05,0.01526531893603677,0.0946394279763121,0.0056690973123749,0.274803216959377,2012-04-27,2012-04
2012-06,0.06151627593554141,0.3157625845019908,0.3376379805382561,0.114237086940446,2012-05-30,2012-05
2012-07,0.02975740824333536,0.2340674445628644,0.2288782069200726,0.4417031282309116,2012-06-28,2012-06
2012-08,0.009296686414803274,0.101537139089437,0.1384807684607011,0.3686748486913864,2012-07-30,2012-07
2012-09,0.0,0.0,0.3376550835462578,0.3680586018234418,2012-08-30,2012-08
2012-10,0.00084049169700598,0.0090190006544042,0.0174723575854542,0.4665777428640373,2012-09-27,2012-09
2012-11,0.02634519795235857,0.2934349621346587,0.0910385187707626,0.2063057748372217,2012-10-30,2012-10
2012-12,0.0023815867987799087,0.0478325894517666,0.0819673590687382,0.4711357411618053,2012-11-29,2012-11
2013-01,0.05702984042568809,0.3145827000980334,0.352255263863078,0.5516859529654218,2012-12-28,2012-12
2013-02,0.05762962274476682,0.369574969557699,0.1652758024319006,0.527783421623141,2013-01-30,2013-01
2013-03,0.05677699053284907,0.4398427861445565,0.1951022994273342,0.5602214148907596,2013-02-27,2013-02
2013-04,0.018559244643920805,0.0968288187134693,0.0852358862246287,0.4000764163636546,2013-03-28,2013-03
2013-05,0.11423697861847672,0.5776237607474088,0.0562564441097627,0.5716961859754487,2013-04-29,2013-04
2013-06,0.008431874146753317,0.0866569865843376,0.0578889638596349,0.7888077961425319,2013-05-30,2013-05
2013-07,0.08584519516472364,0.4931257870139828,0.0326896589270332,0.9382897775806388,2013-06-27,2013-06
2013-08,0.017494316868114937,0.1366143761669661,0.14373727763431,0.2088644320327978,2013-07-30,2013-07
2013-09,0.02326997519781916,0.3493660928096274,0.2610768797535487,0.6480220722251482,2013-08-29,2013-08
2013-10,0.0005027556826668096,0.010557869336003,0.2486790523706205,0.9481043966391084,2013-09-27,2013-09
2013-11,0.014788182139357899,0.1757664261770341,0.2116412041083027,0.6082831566875265,2013-10-30,2013-10
2013-12,0.003582216061818562,0.0496754696237514,0.1290588564281985,0.7888372293467878,2013-11-28,2013-11
2014-01,0.0002841397194932182,0.0062510738288508,0.0019931769701944,1.0,2013-12-30,2013-12
2014-02,0.06698354661380371,0.2729991950692741,0.0509092381824512,0.4169516254930747,2014-01-29,2014-01
2014-03,0.06143396081172085,0.589329780624775,0.0509092381824512,0.4169516254930747,2014-02-27,2014-02
