date,month,signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,state,vkospi_stress,crisis_score,pre_crash_score,source_gross_exposure,gross_exposure,w_KODEX200,w_BOND,w_GLD,w_USO
2008-06-13,2008-06,2008-06-12,0.02075188791870726,0.02075188791870726,1.6714547870911662,0.0,9.71445146547012e-17,2.914335439641036e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.983457582951861,1.0,0.13593661796734688,0.20388809168564928,0.18415885114969946,0.4760164391973044
2008-06-16,2008-06,2008-06-13,-0.032210849557419305,-0.032210849557419305,1.6176158084021444,-0.03221084955741926,2.7755575615628914e-17,8.326672684688674e-20,0.0,RiskOn,0.0,0.0,0.0,0.9837859558417271,1.0,0.13424671364527888,0.19999726479739832,0.1855176989996129,0.48023832255771
2008-06-17,2008-06,2008-06-16,0.005715796786982256,0.005715796786982256,1.6268617716423812,-0.0266791634408432,6.938893903907228e-17,2.0816681711721684e-19,0.0,RiskOn,0.0,0.0,0.0,0.9832527787076856,1.0,0.1390784805257168,0.20689767463266856,0.1853701231071018,0.46865372173451286
2008-06-18,2008-06,2008-06-17,0.014091030815891548,0.014091030815891548,1.6497859309997898,-0.012964069539138867,5.551115123125783e-17,1.6653345369377348e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0736512057951221,0.9833438243469794,1.0,0.13658435018646037,0.20564718580755978,0.18728194742887297,0.470486516577107
2008-06-19,2008-06,2008-06-18,-0.004017555722841461,-0.004017555722841461,1.6431578240912383,-0.016929541390211966,1.1102230246251565e-16,3.3306690738754697e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.9835689484552913,0.9999999999999999,0.13544793156285465,0.20297363989608885,0.18846570991101488,0.47311271863004156
2008-06-20,2008-06,2008-06-19,-0.007327110869082629,-0.007327110869082629,1.6311182245387212,-0.02413260763256586,8.326672684688674e-17,2.4980018054066025e-19,0.0,RiskOn,0.0,0.0,0.0176510935414881,0.9835012375897455,1.0,0.13566664298913983,0.20355226199447307,0.18873892159631037,0.4720421734200767
2008-06-23,2008-06,2008-06-20,0.0046112097959436615,0.0046112097959436615,1.6386396528740563,-0.01963267835333915,5.551115123125783e-17,1.6653345369377348e-19,0.0,RiskOn,0.0,0.0,0.0,0.983378937164259,1.0,0.13275606376566526,0.204384850436175,0.18685382972424738,0.47600525607391236
2008-06-24,2008-06,2008-06-23,-0.0041039255478833945,-0.0041039255478833945,1.6319147977388517,-0.023656032850954967,6.938893903907228e-17,2.0816681711721684e-19,0.0,RiskOn,0.1144851941198902,0.0040904914596616,0.0110201168038348,0.9834514334871367,1.0,0.1322197201654428,0.20359489172833412,0.18648975326809056,0.4776956348381325
2008-06-25,2008-06,2008-06-24,0.018521839461805762,0.018521839461805762,1.662140861637916,-0.005572346631917635,6.938893903907228e-17,2.0816681711721684e-19,0.0,RiskOn,0.1825007967239437,0.0451011741066193,0.0913553726734508,0.9833818293827108,1.0000000000000002,0.13313114342737747,0.20461985735992644,0.18633921703889098,0.47590978217380525
2008-06-26,2008-06,2008-06-25,0.011534346779540117,0.011534346779540117,1.6813125707324914,0.0,6.938893903907228e-17,2.0816681711721684e-19,5.551115123125783e-20,RiskOn,0.1999040420191492,0.0,0.0,0.983676600054737,1.0,0.1313219831914717,0.20128230570450767,0.18959883189569826,0.47779687920832237
