Model,Config,threshold,max_shift,bond_share,horizon_weights,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths,CAGRDelta,SharpeDelta,MDDDelta,CalmarDelta,MultiObjectiveScore,Selected
CJM,th0.55_shift0.10_bond0.50_hw1.00-0.00-0.00,0.55,0.1,0.5,"(1.0, 0.0, 0.0)",129.0,0.12795079162201461,0.13858261118548323,0.9408263825169433,1.7696168261719993,-0.1298226382385037,0.985581508418815,3.6485403099105707,0.5968992248062015,0.12374531569460204,0.001635753207422598,4,-0.00064207066479538,-0.004286201533940992,0.0,-0.004945752709290985,0.537326388888889,False
CJM,th0.55_shift0.10_bond0.50_hw0.50-0.30-0.20,0.55,0.1,0.5,"(0.5, 0.3, 0.2)",129.0,0.12814776297268704,0.13857210008700366,0.9421609622443686,1.7721389944090211,-0.1298226382385037,0.9870987426496474,3.6553953543196998,0.5968992248062015,0.12255280703537821,0.001163334235350409,3,-0.0004450993141229542,-0.0029516218065156474,0.0,-0.0034285184784585976,0.5876736111111112,False
CJM,th0.55_shift0.10_bond0.50_hw0.33-0.33-0.33,0.55,0.1,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12823050808856773,0.13856803813883178,0.9427195498928986,1.7731857675252392,-0.1298226382385037,0.9877361131191079,3.6582785524938974,0.5968992248062015,0.12203917878259808,0.0009682614793530203,3,-0.0003623541982422651,-0.0023930341579856407,0.0,-0.0027911480089980456,0.6137152777777778,False
CJM,th0.55_shift0.10_bond1.00_hw1.00-0.00-0.00,0.55,0.1,1.0,"(1.0, 0.0, 0.0)",129.0,0.12852308650700817,0.13852895834649015,0.9448383370881945,1.7775330474905384,-0.1298226382385037,0.989989791078594,3.6684897997272654,0.5968992248062015,0.12374531569460204,0.001635753207422598,4,-6.977577980182836e-05,-0.00027424696268973925,0.0,-0.00053747004951199,0.8376736111111112,False
CJM,th0.55_shift0.10_bond1.00_hw0.50-0.30-0.20,0.55,0.1,1.0,"(0.5, 0.3, 0.2)",129.0,0.12852809788094577,0.13853792404115456,0.944818565058575,1.7773987066141834,-0.1298226382385037,0.9900283927739962,3.6686649260965,0.5968992248062015,0.12255280703537821,0.001163334235350409,3,-6.476440586422605e-05,-0.0002940189923092973,0.0,-0.0004988683541097272,0.8480902777777778,False
CJM,th0.55_shift0.10_bond1.00_hw0.33-0.33-0.33,0.55,0.1,1.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12853049458110255,0.1385418452969959,0.9448112441631759,1.7773425378541916,-0.1298226382385037,0.9900468541162498,3.668748683332296,0.5968992248062015,0.12203917878259808,0.0009682614793530203,3,-6.236770570744454e-05,-0.00030133988770841835,0.0,-0.0004804070118561432,0.8515625,False
CJM,th0.55_shift0.20_bond0.00_hw1.00-0.00-0.00,0.55,0.2,0.0,"(1.0, 0.0, 0.0)",129.0,0.1261578232549163,0.13876448320920043,0.9281883513413736,1.7437656684213307,-0.1298226382385037,0.9717706015428944,3.586674996206642,0.5968992248062015,0.1280551313195967,0.003271506414845196,4,-0.002435039031893682,-0.01692423270951071,0.0,-0.018756659585211555,0.2248263888888889,False
CJM,th0.55_shift0.20_bond0.00_hw0.50-0.30-0.20,0.55,0.2,0.0,"(0.5, 0.3, 0.2)",129.0,0.1269393736391795,0.1386750903725325,0.933753121933061,1.755294798261701,-0.1298226382385037,0.9777907409798035,3.6135239904197043,0.5968992248062015,0.12567011400114905,0.002326668470700818,3,-0.0016534886476304855,-0.011359462117823238,0.0,-0.01273652014830251,0.31684027777777773,False
CJM,th0.55_shift0.20_bond0.00_hw0.33-0.33-0.33,0.55,0.2,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12726660729222794,0.13864249159601102,0.936056596849746,1.7599254208551551,-0.1298226382385037,0.9803113618629444,3.6248196520719294,0.5968992248062015,0.12464285749558883,0.0019365229587060405,3,-0.0013262549945820545,-0.009055987201138316,0.0,-0.010215899265161532,0.3741319444444444,False
CJM,th0.55_shift0.20_bond0.50_hw1.00-0.00-0.00,0.55,0.2,0.5,"(1.0, 0.0, 0.0)",129.0,0.1273074617483272,0.13861618701420914,0.9364719045685009,1.7611901769718488,-0.1298226382385037,0.9806260562541045,3.6262321388503644,0.5968992248062015,0.1280551313195967,0.003271506414845196,4,-0.001285400538482806,-0.00864067948238334,0.0,-0.009901204874001479,0.3862847222222222,False
CJM,th0.55_shift0.20_bond0.50_hw0.50-0.30-0.20,0.55,0.2,0.5,"(0.5, 0.3, 0.2)",129.0,0.1277020753200513,0.13858972940087108,0.9391767919131959,1.7664267943199035,-0.1298226382385037,0.9836656923074031,3.6399010823139255,0.5968992248062015,0.12567011400114905,0.002326668470700818,3,-0.0008907869667587054,-0.005935792137688356,0.0,-0.006861568820702879,0.47482638888888884,False
CJM,th0.55_shift0.20_bond0.50_hw0.33-0.33-0.33,0.55,0.2,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.127867763100163,0.13857997825847818,0.940304724099135,1.7685737726728212,-0.1298226382385037,0.9849419549250779,3.645654226188685,0.5968992248062015,0.12464285749558883,0.0019365229587060405,3,-0.0007250991866469825,-0.00480785995174926,0.0,-0.005585306203028106,0.5112847222222222,False
CJM,th0.55_shift0.20_bond1.00_hw1.00-0.00-0.00,0.55,0.2,1.0,"(1.0, 0.0, 0.0)",129.0,0.1284529915156032,0.13850064369906867,0.9445497791620309,1.7772916657394264,-0.1298226382385037,0.9894498622005796,3.6660410701896238,0.5968992248062015,0.1280551313195967,0.003271506414845196,4,-0.00013987077120680702,-0.0005628048888534076,0.0,-0.0010773989275263407,0.7803819444444444,False
CJM,th0.55_shift0.20_bond1.00_hw0.50-0.30-0.20,0.55,0.2,1.0,"(0.5, 0.3, 0.2)",129.0,0.12846314520058622,0.1385177356533031,0.9445159907855784,1.7770417285451117,-0.1298226382385037,0.9895280741759391,3.6663956916824314,0.5968992248062015,0.12567011400114905,0.002326668470700818,3,-0.00012971708622377953,-0.0005965932653059225,0.0,-0.0009991869521668306,0.7907986111111112,False
