signal_month,Model,p_h1,p_h3,p_h6,p_current
2012-04,CJM,0.09409539227895392,0.1695664086016792,0.22630890405821324,0.0
2012-05,CJM,0.09408783783783783,0.1685582164332098,0.22471763500919376,0.0
2012-06,CJM,0.09275438596491228,0.1662554330478498,0.22184535592122426,0.0
2012-07,CJM,0.09146279491833031,0.1640243867708034,0.21905800465177622,0.0
2012-08,CJM,0.09021109399075503,0.16186176154888973,0.21635188269794925,0.0
2012-09,CJM,0.0868974358974359,0.15047120256410257,0.1938323362451754,0.0
2012-10,CJM,0.07778158803222096,0.14338617287624544,0.21103703780307773,0.0
2012-11,CJM,0.07675,0.1415098540879017,0.2084102568109022,0.0
2012-12,CJM,0.08747988849064117,0.15781227427158173,0.21335058874831986,0.0
2013-01,CJM,0.08758536585365853,0.15709326585365854,0.2121090989643586,0.0
2013-02,CJM,0.08714457831325301,0.15776983666967037,0.21517634105472627,0.0
2013-03,CJM,0.0872485119047619,0.1570588880874153,0.21393050998784258,0.0
2013-04,CJM,0.08799080882352942,0.15880079741471595,0.21787045894527474,0.0
2013-05,CJM,0.08691699463327371,0.15692280279995557,0.21544763422714713,0.0
2013-06,CJM,0.07493103448275862,0.13448623275576382,0.19669067816702726,0.0
2013-07,CJM,0.0740625,0.13296198119355693,0.194566038732605,0.0
2013-08,CJM,0.07364115168539326,0.1328952929207448,0.19549355097437968,0.0
2013-09,CJM,0.07280512820512822,0.13141864499538766,0.1934222366638006,0.0
2013-10,CJM,0.07159209447269149,0.12863570335222257,0.18852991855237675,0.0
2013-11,CJM,0.07081074168797954,0.1272702392485197,0.18662307978445053,0.0
2013-12,CJM,0.0711243571762506,0.12701581565684017,0.18584070027745933,0.0
2014-01,CJM,0.0714340425531915,0.12677288127379638,0.18508274471951278,0.0
2014-02,CJM,0.07104210526315789,0.12671332506315788,0.1859618425073662,0.0
2014-03,CJM,0.05754052511415525,0.0949017318852694,0.1407128044560163,0.0
2014-04,CJM,0.058032320980774585,0.09511497451640911,0.14060656165125646,0.0
2014-05,CJM,0.057494693877551024,0.09430606176307388,0.1394861744675691,0.0
2014-06,CJM,0.057979000531632116,0.0945260696976642,0.1394024221254584,0.0
2014-07,CJM,0.05745454545454545,0.09374403643876784,0.1383240603412709,0.0
2014-08,CJM,0.05793145468392994,0.09396983499868422,0.13826069330855725,0.0
2014-09,CJM,0.05839985107967238,0.09419334775177446,0.1382019473616375,0.0
2014-10,CJM,0.058859951456310684,0.09441456279981533,0.1381475665925492,0.0
2014-11,CJM,0.05835042735042736,0.09367193402794648,0.13713577221042905,0.0
2014-12,CJM,0.05880371660859467,0.09389769203212725,0.13709857282011437,0.0
2015-01,CJM,0.05830575130711526,0.09317757142514106,0.13612149112324556,0.0
2015-02,CJM,0.0578177570093458,0.0924726095231199,0.13516536204041635,0.0
2015-03,CJM,0.05733943355119826,0.09178232659972091,0.1342295124383803,0.0
2015-04,CJM,0.056870492852570946,0.09110626320255935,0.13331329795406527,0.0
2015-05,CJM,0.05731974921630094,0.091353069990626,0.13332519237151516,0.0
2015-06,CJM,0.05776146601146601,0.09159685398690741,0.13333913344359424,0.0
2015-07,CJM,0.05819582664526485,0.09183764914805961,0.1333549930581171,0.0
2015-08,CJM,0.561808463395012,0.5303103548670645,0.4925449667420815,0.6
2015-09,CJM,0.8921258581235699,0.8090795866433,0.7089887007937276,1.0
2015-10,CJM,0.8622842809364548,0.7370091660749278,0.603357299613563,1.0
2015-11,CJM,0.07872335423197493,0.13886673760587406,0.19718854705472413,0.0
2015-12,CJM,0.07890127724959187,0.13856346904179204,0.1964815970176014,0.0
2016-01,CJM,0.3041010430247718,0.29403047008439864,0.2843519695739874,0.3
2016-02,CJM,0.8333361344537814,0.6713729303629055,0.5186734092910552,1.0
2016-03,CJM,0.5370076923076924,0.47148659496927625,0.40900776243976167,0.6
2016-04,CJM,0.08784369385555157,0.15570374385966107,0.21411501484098305,0.0
2016-05,CJM,0.08791909042834481,0.15524396930675327,0.21327475741291346,0.0
2016-06,CJM,0.08718232139768206,0.15398248518412627,0.21163891807118104,0.0
2016-07,CJM,0.0860725806451613,0.1512383350497395,0.2067551263300935,0.0
2016-08,CJM,0.08537113402061856,0.15004667316490905,0.2052161203450188,0.0
2016-09,CJM,0.08505367370315824,0.15033946906863965,0.20690824915881673,0.0
2016-10,CJM,0.08479384395132428,0.14851635436141436,0.20300731828821073,0.0
2016-11,CJM,0.08526136363636364,0.14958462528498948,0.20545652238288512,0.0
2016-12,CJM,0.08459007751937984,0.14844540825857983,0.20397695961629894,0.0
2017-01,CJM,0.08393069306930695,0.14732665979825313,0.2025231057084568,0.0
2017-02,CJM,0.08328289178266726,0.1462278294853608,0.20109429644459337,0.0
2017-03,CJM,0.08264636657840542,0.1451483865705901,0.1996898902698366,0.0
2017-04,CJM,0.08235017154536828,0.1453969029876499,0.20121537868560174,0.0
2017-05,CJM,0.08172904707233067,0.1443367602320442,0.19982720165389914,0.0
2017-06,CJM,0.08111851851851853,0.14329497454578766,0.19846231209755666,0.0
2017-07,CJM,0.08051831298557159,0.1422710699843652,0.19712012878726456,0.0
2017-08,CJM,0.08065809400368375,0.14199451401613877,0.19653001666918185,0.0
2017-09,CJM,0.08007246376811594,0.14099971946291176,0.19522628872723932,0.0
2017-10,CJM,0.07949646887994193,0.1400215499595439,0.19394371136631272,0.0
2017-11,CJM,0.07964415584415585,0.13977387518489562,0.19339605956857092,0.0
2017-12,CJM,0.07908165612420931,0.13882265566237095,0.1921492016212869,0.0
2018-01,CJM,0.07852816901408452,0.13788692539042222,0.19092208167648012,0.0
2018-02,CJM,0.07868277739959156,0.13766560737400482,0.19041353521337856,0.0
2018-03,CJM,0.15108155878201251,0.18466284306108757,0.21472157682794352,0.1
2018-04,CJM,0.07814181286549708,0.13675487851293588,0.18921965385964398,0.0
2018-05,CJM,0.07814181286549708,0.13675487851293588,0.18921965385964398,0.0
2018-06,CJM,0.06980982905982906,0.11882674747888534,0.16692484421521117,0.0
2018-07,CJM,0.0705042735042735,0.11952119192332979,0.1676192886596556,0.0
2018-08,CJM,0.0705042735042735,0.11952119192332979,0.1676192886596556,0.0
2018-09,CJM,0.0705042735042735,0.11952119192332979,0.1676192886596556,0.0
2018-10,CJM,0.0705042735042735,0.11952119192332979,0.1676192886596556,0.0
2018-11,CJM,0.8281196581196582,0.6588636415313811,0.49676212659534513,1.0
2018-12,CJM,0.8360833333333333,0.6758603870507246,0.5190404823043014,1.0
2019-01,CJM,0.8697525252525252,0.7565944040393605,0.6350624963349903,1.0
2019-02,CJM,0.07926159420289855,0.13700968730141094,0.1880062617234676,0.0
2019-03,CJM,0.079956038647343,0.13770413174585538,0.18870070616791204,0.0
2019-04,CJM,0.079956038647343,0.13770413174585538,0.18870070616791204,0.0
2019-05,CJM,0.08065048309178745,0.13839857619029983,0.18939515061235648,0.0
2019-06,CJM,0.08091959064327486,0.13604022546077568,0.18057588883105924,0.0
2019-07,CJM,0.0813449275362319,0.1355144814154626,0.17851169833034225,0.0
2019-08,CJM,0.07429166666666667,0.12361156456538057,0.17001054647465674,0.0
2019-09,CJM,0.08082051282051284,0.13299888661249631,0.17278123289087177,0.0
2019-10,CJM,0.057779569892473126,0.08394682250590045,0.11168668270765561,0.0
2019-11,CJM,0.05708512544802867,0.083252378061456,0.11099223826321117,0.0
2019-12,CJM,0.07114554637281911,0.11380662499444152,0.14836820373413903,0.0
2020-01,CJM,0.07096630236794171,0.11273207749096964,0.1457113617399854,0.0
2020-02,CJM,0.7555722222222222,0.5112465883338226,0.3284070413675229,1.0
2020-03,CJM,0.7469824561403509,0.49530616936042415,0.3129070775338486,1.0
2020-04,CJM,0.7366666666666667,0.48128107867654324,0.3072700971185068,1.0
2020-05,CJM,0.6127151763818148,0.42105719505296174,0.28215558384846184,0.8
2020-06,CJM,0.07750177777777778,0.11971225969751043,0.14429634800721275,0.0
2020-07,CJM,0.07658333333333334,0.11717665371438336,0.13955076242719355,0.0
2020-08,CJM,0.07566841644794402,0.11451434708972875,0.134608309406181,0.0
