name,max_exposure,target_vol,sleeve_stop,safe_exposure,cooldown_days,global_stop,global_cooldown_days,vix_threshold,vix_multiplier,rebalance_band,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,StoppedDays,MDD9Pass,CAGRRetention
mx1.50_tv0.30_ss0.06_se0.25_cd5_gs0.08,1.5,0.3,0.06,0.25,5,0.08,10,35.0,0.5,0.1,0.04,129.0,0.013189330019646395,0.11697396758277652,0.1687327518191727,0.28460465265426416,-0.37600739218782286,0.03507731574877675,1.151261631926634,0.5116279069767442,2.3619325406187457,0.4382993125507178,107,False,0.08653309691396768
mx1.50_tv0.30_ss0.06_se0.25_cd5_gs0.09,1.5,0.3,0.06,0.25,5,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.025601717902801857,0.1059691690901228,-0.19311574654315541,-0.3002739491534453,-0.46606918656272533,-0.05493115322987842,0.7566891004485515,0.4573643410852713,2.578195831917752,0.37841022490216536,107,False,-0.16796880001844167
mx1.50_tv0.30_ss0.06_se0.25_cd5_gs0.10,1.5,0.3,0.06,0.25,5,0.1,10,35.0,0.5,0.1,0.04,129.0,0.04217733966406523,0.1513986487167312,0.3453269635381981,0.6861693308794896,-0.47135441894100105,0.08948115890973438,1.5590946418713525,0.5116279069767442,2.4741139422420284,0.4169904190222428,107,False,0.27671881856677805
mx1.50_tv0.30_ss0.06_se0.25_cd10_gs0.08,1.5,0.3,0.06,0.25,10,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.02756471513161196,0.10537244466606435,-0.21395415680669963,-0.3344978028333559,-0.4854042015384755,-0.056787137491283224,0.7404617348308766,0.4418604651162791,2.4888892297727865,0.37626939367450796,192,False,-0.18084771268416847
mx1.50_tv0.30_ss0.06_se0.25_cd10_gs0.09,1.5,0.3,0.06,0.25,10,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.02736359019145329,0.10829913737410761,-0.2033513039274924,-0.31558090309943326,-0.497994627368218,-0.054947561053144876,0.7421097235555876,0.4418604651162791,2.480839045576842,0.3781721420888843,192,False,-0.17952816393433496
mx1.50_tv0.30_ss0.06_se0.25_cd10_gs0.10,1.5,0.3,0.06,0.25,10,0.1,10,35.0,0.5,0.1,0.04,129.0,0.01632277314921482,0.14665784857351527,0.1800305647044806,0.35117411188226233,-0.5686953790609972,0.028702137823180852,1.1901187948165222,0.43410852713178294,2.333924984503868,0.4271791589410564,192,False,0.10709111901224407
mx1.50_tv0.30_ss0.06_se0.25_cd20_gs0.08,1.5,0.3,0.06,0.25,20,0.08,10,35.0,0.5,0.1,0.04,129.0,0.002469197901520559,0.11025685427941008,0.07605579305670308,0.1223431191871418,-0.33403374502066474,0.007392061246290563,1.0268657072694427,0.49612403100775193,2.3322815565920614,0.406384813203937,278,False,0.016200014784206043
mx1.50_tv0.30_ss0.06_se0.25_cd20_gs0.09,1.5,0.3,0.06,0.25,20,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.01721707914151982,0.123752439999274,-0.08040612846054167,-0.13157762601876768,-0.5376684471518416,-0.03202173985236219,0.8296964004493855,0.4263565891472868,2.2784634324388504,0.4505500474878789,278,False,-0.1129585184167322
mx1.50_tv0.30_ss0.06_se0.25_cd20_gs0.10,1.5,0.3,0.06,0.25,20,0.1,10,35.0,0.5,0.1,0.04,129.0,0.049920762281919995,0.14550659211250844,0.4044348857575699,0.8259662964579524,-0.4188210117602864,0.11919354779289895,1.6882339641201758,0.5038759689922481,2.3332581460305897,0.41358661322447765,278,False,0.3275221830165668
mx1.50_tv0.30_ss0.08_se0.00_cd5_gs0.08,1.5,0.3,0.08,0.0,5,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.08156197536964171,0.09898870387326211,-0.8081183333389664,-1.0604005474118774,-0.7136895965464085,-0.11428214137396081,0.400669191959786,0.3643410852713178,3.3672510153702566,0.15862867837385272,68,False,-0.5351151505529673
