candidate,transform_family,C,feature_count,fit_count,convergence_warning_count,full_CAGR,full_CAGR_delta,full_Sharpe,full_Sharpe_delta,full_MDD,full_MDD_delta,full_score,full_all_three_improve,added_feature_count,pre2018_CAGR,pre2018_CAGR_delta,pre2018_Sharpe,pre2018_Sharpe_delta,pre2018_MDD,pre2018_MDD_delta,post2018_CAGR,post2018_CAGR_delta,post2018_Sharpe,post2018_Sharpe_delta,post2018_MDD,post2018_MDD_delta,rank_full_score
ma21_6,processed,0.3,22,194,0,0.15595334395950933,-0.0004121957791263231,1.1232080134953737,-0.009320668781912067,-0.13461971159168018,-0.005031713896141654,-0.7308043431650391,False,6.0,0.11462913846605827,-0.001302898902321603,0.8470910866920383,-0.010366378382174135,-0.13461971159168018,-0.005031713896141654,0.20987658308822565,0.0007983497583370358,1.4857704441327573,-0.01114820232494651,-0.09574297566907464,0.0018612376394389063,10.0
ma21_6,processed,0.03,22,194,0,0.15301924930608513,-0.003346290432550525,1.1126920358562034,-0.019836646421082405,-0.12958799769553853,0.0,-0.7313619716767006,False,6.0,0.11358309199167804,-0.0023489453767018276,0.8411047255110546,-0.016352739563157748,-0.12958799769553853,0.0,0.2043858763897941,-0.004692356940094511,1.4748387143353907,-0.022079932122313073,-0.1021417049789618,-0.004537491670448257,11.0
z126_6,processed,0.01,22,194,0,0.15223977607941874,-0.004125763659216908,1.1140900312665645,-0.018438651010721285,-0.12958799769553853,0.0,-0.7813493861361165,False,6.0,0.11332148408355014,-0.002610553284829731,0.8420391638346268,-0.015418301239585541,-0.12958799769553853,0.0,0.2029066455292734,-0.006171587800615219,1.4793371898994623,-0.017581456558241504,-0.09249856922974875,0.005105644078764793,12.0
ma21_6,processed,0.01,22,194,0,0.1523666807419759,-0.003998858996659749,1.1099381273006814,-0.022590554976604338,-0.12958799769553853,0.0,-0.8516969991980616,False,6.0,0.11228142396868535,-0.0036506133996945245,0.8322625461302228,-0.02519491894398962,-0.12958799769553853,0.0,0.20461432594500484,-0.004463907384883781,1.4825133914195088,-0.014405255038195008,-0.10086480203278603,-0.003260588724272484,14.0
delta21_6,processed,0.3,22,194,0,0.15247924807436952,-0.0038862916642661283,1.1089290474534514,-0.023599634823834315,-0.12958799769553853,0.0,-0.8606218629032991,False,6.0,0.11383510701203448,-0.0020969303563453945,0.842939573676238,-0.014517891397974436,-0.12958799769553853,0.0,0.20277482874620079,-0.006303404583687833,1.4626384022966659,-0.03428024416103792,-0.09234632579065305,0.005257887517860493,15.0
medium_ma_delta_z18,processed,0.01,34,194,0,0.1519419386412879,-0.00442360109734774,1.111242346562429,-0.02128633571485672,-0.12958799769553853,0.0,-0.8680868240319084,False,18.0,0.1134462663187652,-0.002485771049614671,0.8429761367278242,-0.014481328346388156,-0.12958799769553853,0.0,0.20203766604241125,-0.007040567287477373,1.470129072620744,-0.02678957383695968,-0.09411691468608874,0.003487298622424806,16.0
ma5_6,processed,0.03,22,194,0,0.1542304196081523,-0.0021351201304833367,1.1208142312674425,-0.011714451009843252,-0.13386416927759992,-0.004276171582061394,-0.8754181914513381,False,6.0,0.11399307946148518,-0.0019389579068946894,0.8451865256490451,-0.012270939425167326,-0.13386416927759992,-0.004276171582061394,0.20668092543507544,-0.002397307894813183,1.4872801147994354,-0.009638531658268334,-0.09817904473805439,-0.0005748314295408452,17.0
delta21_6,processed,0.01,22,194,0,0.1521668214527796,-0.004198718285856051,1.1091654340445394,-0.02336324823274638,-0.12958799769553853,0.0,-0.8871367932405327,False,6.0,0.11268334829135429,-0.0032486890770255794,0.8353062829437967,-0.02215118213041567,-0.12958799769553853,0.0,0.20359906511068493,-0.0054791682192036895,1.476215696481281,-0.020702949976422858,-0.09860883213508609,-0.0010046188265725453,18.0
medium_ma_delta_z18,processed,0.03,34,194,0,0.15190499457225326,-0.00446054516638239,1.1137753163408068,-0.018753365936478916,-0.1307816685959582,-0.0011936709004196633,-0.9404889254097837,False,18.0,0.1136480049312909,-0.0022840324370889675,0.8448428993277157,-0.012614565746496664,-0.1307816685959582,-0.0011936709004196633,0.2016781444409539,-0.0074000888889347305,1.4754135675148572,-0.02150507894284659,-0.08900053785012296,0.00860367545839058,19.0
multiscale_ma_z24,processed,0.03,40,194,0,0.15183480496456814,-0.004530734774067513,1.1133836082293156,-0.019145074047970168,-0.13078166859595752,-0.0011936709004189971,-0.9553420484080544,False,24.0,0.1144032300638762,-0.0015288073045036654,0.8498075749687501,-0.007649890105462243,-0.13078166859595752,-0.0011936709004189971,0.20049350947201594,-0.008584723857872678,1.4673891413413265,-0.029529505116377308,-0.08819988930669331,0.00940432400182023,20.0
