name,model_name,rank_threshold,protection_fraction,vix_threshold,vix_fraction,vol_cap,dd_start,dd_fraction,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,CAGRRetention
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.26_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.26,-0.03,0.75,129.0,0.12370857675216707,0.1285187766811744,0.9741651758112977,1.9580983496979505,-0.14787393653149772,0.8365813452583422,3.503702541683124,0.6124031007751938,0.141260157465095,0.49107484025667175,False,0.8116323001425116
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.26_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.26,-0.05,0.5,129.0,0.13329327087884457,0.14077179799731737,0.9616135781182742,1.9275312063465102,-0.15203951769423818,0.8767014845897263,3.838661644900344,0.627906976744186,0.14637920267521431,0.34307669291031473,False,0.8745159541658081
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.26_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.26,-0.05,0.75,129.0,0.13341669425396518,0.13512798814275667,0.9970015255687441,2.0211626454373595,-0.13934363159933127,0.9574653159434771,3.843158138648515,0.6046511627906976,0.13590674578954368,0.44892883702931174,False,0.8753257153033983
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.30_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.3,-0.03,0.5,129.0,0.13041319693303688,0.14136030244539244,0.9400111830314977,1.8565062191881065,-0.15520724073922387,0.8402520160264594,3.735081687115907,0.6201550387596899,0.1397429840650968,0.38084561884540585,False,0.8556202469918472
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.30_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.3,-0.03,0.75,129.0,0.12449253711062958,0.13320900826803425,0.9495060704988603,1.9007966221446244,-0.14787393653149772,0.8418828904586049,3.5300691129262516,0.6124031007751938,0.1444481154220098,0.4856145555213025,False,0.8167757393903351
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.30_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.3,-0.05,0.5,129.0,0.13522189159293152,0.14546381994203958,0.9467695621230386,1.8969375088673746,-0.15203951769423818,0.8893864808547469,3.909472320660818,0.627906976744186,0.14380671643412923,0.3365014588657709,False,0.8871693279849315
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.30_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.3,-0.05,0.75,129.0,0.13510570149432755,0.1399352076240538,0.9779668260122694,1.9792650003843877,-0.13934363159933116,0.9695864815897051,3.905173015360538,0.6046511627906976,0.13408921003193494,0.4436288776864317,False,0.8864070232243436
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc99.00_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,99.0,-0.03,0.5,129.0,0.12448839807992895,0.1505827596416526,0.8566084111824828,1.5644974675300307,-0.18240150790159138,0.6824965402538914,3.529929435588178,0.6201550387596899,0.13988308957227158,0.3748661571244643,False,0.81674858386809
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc99.00_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,99.0,-0.03,0.75,129.0,0.11700667657109376,0.1421968391604442,0.8513346732001947,1.5491641378139354,-0.1805560771489696,0.6480351058721564,3.285485210882371,0.6124031007751938,0.14685612867431364,0.48078168936608023,False,0.7676621987793113
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc99.00_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,99.0,-0.05,0.5,129.0,0.12935209693649274,0.15437931911326425,0.8672951931611155,1.607592871303833,-0.18240150790159138,0.7091613354768993,3.697563556503721,0.627906976744186,0.14228201750326971,0.3305606696105913,False,0.8486585386488463
