name,model_name,probability_threshold,protection_fraction,vix_threshold,fsi_threshold,vol_cap,dd_start,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,MDD10Pass,ReturnRetention
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.22_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.22,-0.03,129.0,0.0843069773419971,0.09348162181464705,0.9140892518551796,1.8660414417343,-0.10799381723912538,0.7806648519083303,2.3871884980400386,0.6356589147286822,0.14579659655290717,0.7413939397806003,False,False,0.5531246719880242
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.22_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.22,-0.05,129.0,0.08804207068240455,0.10145905531611545,0.8841774992746705,1.6341890171087357,-0.1298246605708404,0.6781613777789415,2.4770863673501675,0.6356589147286822,0.17892704811467453,0.4679924584322127,False,False,0.5776300254462173
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.26_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.26,-0.03,129.0,0.08669039473366791,0.09587700097368351,0.9164153895120966,1.923412935491685,-0.10799381723912516,0.802734794916211,2.4442051492788064,0.6356589147286822,0.14970135047588184,0.7328379780721094,False,False,0.5687618944877775
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.26_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.26,-0.05,129.0,0.08691501020521475,0.099931166750969,0.8855293612635098,1.6999681519353675,-0.14096756031305224,0.6165603633360692,2.4496416270515424,0.6356589147286822,0.1462316620372281,0.7098272588606097,False,False,0.5702355608786243
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc99.00_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,1.0,99.0,-0.03,129.0,0.0884460889073635,0.09986409060046976,0.8995321643185642,1.9508378243175994,-0.10799381723912549,0.81899215314819,2.486992204570933,0.6356589147286822,0.15581244712333356,0.7295101145479701,False,False,0.5802807247738788
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc99.00_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,1.0,99.0,-0.05,129.0,0.08867106727534924,0.10376158980812557,0.8718041502021674,1.7270894697119608,-0.14096756031305224,0.629017534803283,2.492523850654367,0.6356589147286822,0.15234275868467992,0.7064993953364701,False,False,0.5817567720705541
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.18_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.18,-0.03,129.0,0.08278957432940226,0.099653795429495,0.8491660540031584,1.675722203039401,-0.10799381723912516,0.7666140196348978,2.3515201478779137,0.627906976744186,0.14576172276988728,0.72301951453686,False,False,0.5431692321172478
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.18_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.18,-0.05,129.0,0.08706937775351498,0.10668884161531034,0.837260218731599,1.5566578707836423,-0.11355170458313246,0.7667817764001114,2.453384216153925,0.627906976744186,0.18593740004730339,0.4432205033054899,False,False,0.5712483418157558
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.22_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.22,-0.03,129.0,0.0852172852436468,0.10611073866622603,0.8245540949328406,1.6590933066589533,-0.10799381723912516,0.7890941113318973,2.4088211315148613,0.627906976744186,0.1516384447547384,0.7173502704573128,False,False,0.5590970573751264
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.22_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.22,-0.05,129.0,0.0892789575861137,0.11334225562864156,0.812287753616015,1.5135432269770088,-0.12982466057084052,0.6876887425975396,2.50752618477571,0.627906976744186,0.18497217231898075,0.442816890310911,False,False,0.5857450437337915
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.26_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.26,-0.03,129.0,0.07581804574737361,0.10222743357798345,0.7668508960270115,1.4196416404126824,-0.10799381723912516,0.7020591334362559,2.1937764353909475,0.627906976744186,0.15229469598159945,0.7129418510956579,False,False,0.49743014169123123
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc0.26_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,2.0,0.26,-0.05,129.0,0.08522863868830322,0.11332842293345038,0.7791871061601157,1.4570611140453387,-0.14096756031305235,0.604597529382168,2.409092054661634,0.627906976744186,0.1520089734979687,0.6839866025800119,False,False,0.5591715455201115
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc99.00_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,2.0,99.0,-0.03,129.0,0.05356818180131251,0.10595340424620198,0.5472279863241991,0.807463944614265,-0.18772550914111097,0.2853537702276038,1.7523604689546555,0.627906976744186,0.16212290382638253,0.7117427853341151,False,False,0.3514523224768236
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs2_vc99.00_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,2.0,99.0,-0.05,129.0,0.06627434405867239,0.11876222414370684,0.6009740686925186,0.9456605434303406,-0.17871064639634793,0.37084720689604506,1.993385597922326,0.627906976744186,0.1587474467535952,0.6815937011598227,False,False,0.4348154325349491
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.18_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.18,-0.03,129.0,0.08887587097110261,0.10208015969260932,0.886539811722369,1.7937863765657738,-0.10799381723912527,0.8229718445298516,2.4975691532866247,0.627906976744186,0.13828565498684728,0.7185687872271882,False,False,0.583100456550855
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.18_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.18,-0.05,129.0,0.0931797309190543,0.108937353072339,0.8739135430159627,1.660277887525497,-0.11355170458313235,0.8205929735809159,2.60575982942607,0.627906976744186,0.1784613322642635,0.4387697759958182,False,False,0.6113373972768428
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.22_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.22,-0.03,129.0,0.09264113644014271,0.10926927657280251,0.8664777075620446,1.7987386634670888,-0.10799381723912505,0.8578374096640394,2.5919918466531935,0.627906976744186,0.14240331097110448,0.7119104926343811,False,False,0.6078037645470862
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.22_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.22,-0.05,129.0,0.09673059423303476,0.11628084219231528,0.853553109276503,1.6339849380861349,-0.12982466057084074,0.7450864404937325,2.6982025942792323,0.627906976744186,0.17573703853534683,0.4373771124879791,False,False,0.6346340468275955
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.26_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.26,-0.03,129.0,0.09377669493422092,0.11381396833851733,0.8452889331652272,1.7473471062062567,-0.10799381723912505,0.8683524421270905,2.6210973757300304,0.627906976744186,0.14450017582084787,0.700812790711849,False,False,0.6152539832521439
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc0.26_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,99.0,0.26,-0.05,129.0,0.09396569605953942,0.1172479209651654,0.8256061671739655,1.6011639876728383,-0.14096756031305224,0.6665767347527762,2.625970339892255,0.627906976744186,0.14098099777761897,0.6775577742438202,False,False,0.6164939895807195
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc99.00_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,99.0,99.0,-0.03,129.0,0.06871673731333705,0.11590128342475943,0.6325447858163322,1.0305143904063292,-0.17871064639634793,0.3845139542550573,2.0430221167080203,0.627906976744186,0.15745769028900322,0.7026058299869059,False,False,0.4508395862935632
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs99_vc99.00_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,99.0,99.0,-0.05,129.0,0.08669691548048886,0.13064563168545693,0.7027729432096098,1.2205246273652801,-0.17871064639634793,0.48512451400467077,2.4443628197382887,0.627906976744186,0.14341674282013023,0.6677397054139902,False,False,0.5688046760707516
logit_s_l8_c01_pt0.55_pf0.75_vx30_fs1_vc0.18_dd0.03,logit_s_l8_c01,0.55,0.75,30.0,1.0,0.18,-0.03,129.0,0.0821606853485537,0.09321364401541557,0.8952861315175953,1.746232338219786,-0.10799381723912538,0.7607906401403457,2.336879585481092,0.627906976744186,0.15848859324197653,0.7061066771086957,False,False,0.5390431915187615
logit_s_l8_c01_pt0.55_pf0.75_vx30_fs1_vc0.18_dd0.05,logit_s_l8_c01,0.55,0.75,30.0,1.0,0.18,-0.05,129.0,0.08632774788073627,0.09992312265507192,0.8804796435293194,1.6003411067107982,-0.11355170458313235,0.7602505677713967,2.435450922835591,0.627906976744186,0.18765849713689772,0.4286649149902396,False,False,0.5663826261531817
logit_s_l8_c01_pt0.55_pf0.75_vx30_fs1_vc0.22_dd0.03,logit_s_l8_c01,0.55,0.75,30.0,1.0,0.22,-0.03,129.0,0.08568508375870953,0.09644386119364363,0.9021551886344467,1.8169521014464955,-0.10799381723912505,0.7934258270450941,2.420006955589853,0.627906976744186,0.16381856641746756,0.7015387318360654,False,False,0.562166209043925
logit_s_l8_c01_pt0.55_pf0.75_vx30_fs1_vc0.22_dd0.05,logit_s_l8_c01,0.55,0.75,30.0,1.0,0.22,-0.05,129.0,0.08931848603886583,0.10353492331975532,0.879911887656323,1.6092839552696294,-0.12982466057084063,0.6879932182848107,2.508504551049546,0.627906976744186,0.18362217610002504,0.4328814571355949,False,False,0.5860043836265506
