Stage,Name,tail_threshold,breadth_threshold,early_scale,confirmed_scale,recovery_relief,right_tail_relief,panic_relief,max_risk_transfer,rebalance_band,oil_cut_deflation,oil_cut_inflation,bond_share_deflation,bond_share_inflation,financing_rate,Cal_CAGR,Cal_CAGRDelta,Cal_Sharpe,Cal_SharpeDelta,Cal_MDD,Cal_MDDDelta,Cal_Calmar,Cal_CalmarDelta,Validation_CAGR,Validation_CAGRDelta,Validation_Sharpe,Validation_SharpeDelta,Validation_MDD,Validation_MDDDelta,Validation_Calmar,Validation_CalmarDelta,MultiObjectiveScore,StrictAllThree,RetentionGate,Selected
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.15_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.15,1.0,0.25,0.5,0.0,0.04,0.19294476491646173,-0.002994266023538694,1.1193234680065802,-0.005057552175493196,-0.12960350713769686,-1.5509442158334608e-05,1.4887310473123858,-0.02328421972145489,0.02829176375832332,-0.002226653828290681,0.38573306477231784,-0.02757125052894721,-0.10661662111247994,1.4831176724072748e-05,0.26535978596128706,-0.02084486502520111,-1.066291242189398,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.20_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.2,1.0,0.25,0.5,0.0,0.04,0.1959399874756711,9.565356706708883e-07,1.1262462426687203,0.0018652224866468892,-0.12960350713769697,-1.550944215844563e-05,1.5118417070881813,-0.00017355994565937394,0.02829176375832332,-0.002226653828290681,0.38573306477231784,-0.02757125052894721,-0.10661662111247994,1.4831176724072748e-05,0.26535978596128706,-0.02084486502520111,-0.9567968048984663,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.25_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.25,1.0,0.25,0.5,0.0,0.04,0.19695517688519648,0.0010161459451960564,1.1281552161055681,0.0037741959234947053,-0.12960350713769697,-1.550944215844563e-05,1.5196747467330638,0.007659479699223093,0.02829176375832332,-0.002226653828290681,0.38573306477231784,-0.02757125052894721,-0.10661662111247994,1.4831176724072748e-05,0.26535978596128706,-0.02084486502520111,-0.9218722024760926,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.15_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.15,1.0,0.0,0.75,0.0,0.04,0.19457108388907418,-0.0013679470509262437,1.1168222782256436,-0.007558741956429804,-0.12962840723559044,-4.040954005191111e-05,1.5009910870497316,-0.011024179984109095,0.028226547787756795,-0.0022918697988572045,0.3836282038176138,-0.029676111483651235,-0.10679610328748068,-0.00016465099827667196,0.264303161996227,-0.021901488990261175,-1.1219705112896183,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.20_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.2,1.0,0.0,0.75,0.0,0.04,0.19390957737357484,-0.0020294535664255875,1.1152556094191288,-0.009125410762944597,-0.12962840723559044,-4.040954005191111e-05,1.4958879886656167,-0.01612727836822403,0.028226547787756795,-0.0022918697988572045,0.3836282038176138,-0.029676111483651235,-0.10679610328748068,-0.00016465099827667196,0.264303161996227,-0.021901488990261175,-1.146341518209676,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.25_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.25,1.0,0.0,0.75,0.0,0.04,0.1935652900789493,-0.0023737408610511324,1.114431252463381,-0.009949767718692382,-0.12962840723559055,-4.040954005202213e-05,1.493232033061688,-0.018783233972152757,0.028226547787756795,-0.0022918697988572045,0.3836282038176138,-0.029676111483651235,-0.10679610328748068,-0.00016465099827667196,0.264303161996227,-0.021901488990261175,-1.1590704853540563,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.15_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.15,1.0,0.0,0.75,0.0,0.04,0.19450116596570854,-0.0014378649742918803,1.1185442891007669,-0.0058367310813065565,-0.12962182897890662,-3.3831283368090936e-05,1.5005278624587202,-0.011487404575120541,0.028201100893127995,-0.0023173166934860046,0.3837138782405108,-0.02959043706075426,-0.10672673906290908,-9.528677370507221e-05,0.26423650849582425,-0.021968142490663922,-1.1073124217657733,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.20_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.2,1.0,0.0,0.75,0.0,0.04,0.19548648092475096,-0.00045255001524946437,1.121135751615907,-0.0032452685661663594,-0.12962182897890673,-3.383128336820196e-05,1.5081293210001099,-0.003885946033730825,0.028201100893127995,-0.0023173166934860046,0.3837138782405108,-0.02959043706075426,-0.10672673906290908,-9.528677370507221e-05,0.26423650849582425,-0.021968142490663922,-1.0697222352140145,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.25_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.25,1.0,0.0,0.75,0.0,0.04,0.19441524443042968,-0.001523786509570746,1.1190023969657585,-0.005378623216314882,-0.12962182897890662,-3.3831283368090936e-05,1.4998649992978181,-0.012150267736022569,0.028201100893127995,-0.0023173166934860046,0.3837138782405108,-0.02959043706075426,-0.10672673906290908,-9.528677370507221e-05,0.26423650849582425,-0.021968142490663922,-1.1071699208227863,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.15_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.15,1.0,0.0,0.75,0.0,0.04,0.19266478722388425,-0.0032742437161161764,1.1181061063891404,-0.00627491379293299,-0.1296152506429762,-2.725294743766149e-05,1.4864360965869465,-0.025579170446894173,0.028165654457889877,-0.0023527631287241224,0.3836695342822899,-0.029634781018975154,-0.1066573777401274,-2.5925450923391935e-05,0.2640760072548942,-0.022128643731593955,-1.152117583483829,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.20_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.2,1.0,0.0,0.75,0.0,0.04,0.19548956987646893,-0.00044946106353149773,1.1236754694106648,-0.0007055507714086584,-0.1296152506429763,-2.7252947437772512e-05,1.508229694474323,-0.0037855725595177248,0.028165654457889877,-0.0023527631287241224,0.3836695342822899,-0.029634781018975154,-0.1066573777401274,-2.5925450923391935e-05,0.2640760072548942,-0.022128643731593955,-1.0536512020615931,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.25_od1.00_oi0.00_bd0.75_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.25,1.0,0.0,0.75,0.0,0.04,0.19639293479018782,0.0004539038501873982,1.1253578228802636,0.0009768026981902267,-0.1296152506429763,-2.7252947437772512e-05,1.5151992826148974,0.0031840155810567428,0.028165654457889877,-0.0023527631287241224,0.3836695342822899,-0.029634781018975154,-0.1066573777401274,-2.5925450923391935e-05,0.2640760072548942,-0.022128643731593955,-1.0226553118706263,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.15_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.15,1.0,0.25,0.75,0.25,0.04,0.19434728733651463,-0.0015917436034857957,1.1161056559424332,-0.00827536423964026,-0.12961443544868123,-2.6437753142705134e-05,1.4994262534396745,-0.012589013594166198,0.028322049978617647,-0.0021963676079963523,0.38503224186457136,-0.02827207343669369,-0.10679684249311783,-0.00016539020391381776,0.2651955743021407,-0.021009076684347483,-1.0838529175200273,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.20_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.2,1.0,0.25,0.75,0.25,0.04,0.19363087284391112,-0.0023081580960893078,1.1144159642247693,-0.009965055957304125,-0.12961443544868123,-2.6437753142705134e-05,1.4938989794896431,-0.018116287544197585,0.028322049978617647,-0.0021963676079963523,0.38503224186457136,-0.02827207343669369,-0.10679684249311783,-0.00016539020391381776,0.2651955743021407,-0.021009076684347483,-1.1102117384234345,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.25_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.04,0.19336086554240173,-0.0025781653975986973,1.1137539785286943,-0.010627041653379132,-0.12961443544868123,-2.6437753142705134e-05,1.4918158218492559,-0.02019944518458483,0.028322049978617647,-0.0021963676079963523,0.38503224186457136,-0.02827207343669369,-0.10679684249311783,-0.00016539020391381776,0.2651955743021407,-0.021009076684347483,-1.1202718494415442,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.15_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.15,1.0,0.25,0.75,0.25,0.04,0.19202531650641674,-0.0039137144335836815,1.1085839100745607,-0.015797110107512724,-0.12960226860587543,-1.4270910336899867e-05,1.4816508890779665,-0.03036437795587421,0.028334710964667886,-0.002183706621946113,0.3856771367285943,-0.02762717857267072,-0.10672777389340837,-9.632160420436353e-05,0.2654858237085171,-0.020718827277971086,-1.1528681767211557,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.20_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.2,1.0,0.25,0.75,0.25,0.04,0.19517358307748278,-0.0007654478625176431,1.1201435763373453,-0.004237443844728128,-0.12960226860587554,-1.427091033701089e-05,1.5059426441909873,-0.00607262284285337,0.028334710964667886,-0.002183706621946113,0.3856771367285943,-0.02762717857267072,-0.10672777389340837,-9.632160420436353e-05,0.2654858237085171,-0.020718827277971086,-1.0163631811305844,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.25_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.25,1.0,0.25,0.75,0.25,0.04,0.1940162385500268,-0.0019227923899736155,1.117811749990407,-0.006569270191666421,-0.12960226860587554,-1.427091033701089e-05,1.4970126729805644,-0.015002594053276308,0.028334710964667886,-0.002183706621946113,0.3856771367285943,-0.02762717857267072,-0.10672777389340837,-9.632160420436353e-05,0.2654858237085171,-0.020718827277971086,-1.0569559260516752,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.15_od1.00_oi0.25_bd0.75_bi0.25,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.15,1.0,0.25,0.75,0.25,0.04,0.1920406025362138,-0.0038984284037866246,1.116167383548408,-0.008213636633665367,-0.12959010175732155,-2.1040617830259123e-06,1.4819079538639526,-0.030107313169888128,0.028339952497213883,-0.0021784650894001167,0.3862179273913667,-0.02708638790989837,-0.1066587081626732,-2.7255873469189673e-05,0.2657068793106935,-0.020497771675794696,-1.0914563129136905,False,False,False
