target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2015-05,2015-04-30,0.1532492053937222,1.0,-0.022889401091747197,1.2726434369495543,10,42,1260,68,0.01639344262295082,0.0,0.5,-0.0
2015-06,2015-05-29,0.1434972021105599,1.0,-0.03877151069052209,1.4989631564037724,10,42,1260,68,0.01639344262295082,0.0,0.5,-0.0
2015-07,2015-06-30,0.15203083438086462,1.0,-0.02703250380336608,1.405769213124406,10,43,1260,68,0.03278688524590164,0.0,0.5,-0.0
2015-08,2015-07-31,0.15203083438086462,0.0,-0.02982917654215589,1.1290394812297866,10,43,1260,68,0.04918032786885246,0.0,0.5,-0.0
2015-09,2015-08-31,0.132389416642945,0.0,-0.01662360812776198,0.5441629633397785,10,43,1260,68,0.01639344262295082,0.0,0.5,-0.0
2015-10,2015-09-30,0.13029043365981155,0.0,0.004441591402895462,-0.13018309794835695,10,44,1260,68,0.01639344262295082,0.0,0.5,-0.0
2015-11,2015-10-30,0.18924120725089524,1.0,-0.03290092049934357,1.815854116428549,10,44,1260,68,0.47540983606557374,0.0,0.5,-0.0
2015-12,2015-11-30,0.12341847000864327,0.0,-0.02429548590131092,0.8665834204826643,10,44,1260,68,0.01639344262295082,0.0,0.5,-0.0
2016-01,2015-12-30,0.1541480856670607,1.0,-0.04333515046887171,1.703360915948509,10,45,1260,68,0.14754098360655737,0.0,0.5,-0.0
2016-02,2016-01-29,0.1396998312251701,0.0,-0.024867358608431256,0.6803616316872132,10,45,1260,68,0.06557377049180328,0.0,0.5,-0.0
2016-03,2016-02-29,0.17584070635121657,0.0,0.01358123913763043,-0.43920898600640823,10,45,1260,68,0.32786885245901637,0.0,0.5,-0.0
2016-04,2016-03-31,0.1797031644863117,1.0,-0.020637223061073184,1.7105634109449244,10,46,1260,68,0.4098360655737705,0.0,0.5,-0.0
2016-05,2016-04-29,0.1484433422508556,0.0,-0.018405229653393196,0.7977153558421028,10,46,1260,68,0.09836065573770492,0.0,0.5,-0.0
2016-06,2016-05-31,0.21024343819971444,0.0,-0.0016466303637346913,0.09448101594602103,10,46,1260,68,0.8688524590163934,0.3442622950819669,0.44836065573770495,-0.3442622950819669
2016-07,2016-06-30,0.2466920523926165,0.0,-0.00983607707944012,0.2847907101559157,10,47,1260,68,1.0,1.0,0.35,-1.0
2016-08,2016-07-29,0.25113707950670067,0.0,-0.01234310667132299,0.5564590007839378,10,47,1260,68,1.0,1.0,0.35,-1.0
2016-09,2016-08-31,0.2648103891876753,1.0,-0.02345084154117738,1.3188338278017402,10,47,1260,68,1.0,1.0,0.35,-1.0
