name,sleeve,vol_cap,trend_window,top_k,brake_fraction,early_guard_start,early_guard_strength,dd_gate,bond_floor,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgSleeve,AvgBrake,AvgEarlyGuard,MDDPass,SharpePass
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.015_eg0.65,0.2,0.1,12,2,0.5,-0.015,0.65,-0.025,0.18,129.0,0.07603893141116758,0.07100044969127169,1.0703969166058964,1.982598398551878,-0.09372987692691748,0.8112560680140039,2.1986233378171893,0.5891472868217055,0.07574836137973452,0.046109077716489644,0.014670034489929363,0.2168372305070607,False,True
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.020_eg0.50,0.2,0.1,12,2,0.5,-0.02,0.5,-0.025,0.18,129.0,0.07625396821240438,0.07161895554631603,1.0645686289607197,1.9686565483697471,-0.09447518387042664,0.8071322551431837,2.203351226532691,0.5891472868217055,0.07305071346380329,0.046362142648783994,0.014767519220393634,0.14296861923386317,False,True
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.020_eg0.65,0.2,0.1,12,2,0.5,-0.02,0.65,-0.025,0.18,129.0,0.07609992821250988,0.07133131870624441,1.0665585699087738,1.9739443999381923,-0.09365526025647375,0.8125536996438981,2.19996350319346,0.5891472868217055,0.07383243183018698,0.04612583329072523,0.014749284333785922,0.18305964814972625,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.010_eg0.50,0.2,0.11,12,2,0.25,-0.01,0.5,-0.025,0.18,129.0,0.07804166218079311,0.07423268863879488,1.0521468930895759,1.918775498648505,-0.09418431761261215,0.828605697413288,2.243014642452748,0.6046511627906976,0.07678733672806592,0.053228528751843356,0.007374038434065602,0.19516094790029048,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.010_eg0.65,0.2,0.11,12,2,0.25,-0.01,0.65,-0.025,0.18,129.0,0.07704693769304582,0.07369224075451981,1.0467208720952055,1.9098045513081094,-0.09350835539335922,0.8239577882525516,2.220865590357111,0.6046511627906976,0.07815199579375608,0.052840102351061013,0.007382185326810627,0.25375914593943294,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.015_eg0.50,0.2,0.11,12,2,0.25,-0.015,0.5,-0.025,0.18,129.0,0.07691472683656686,0.07447908389356696,1.0347821050897408,1.8801281942955577,-0.09443351314635606,0.8144854964504177,2.2179366983954534,0.6046511627906976,0.07704742714472482,0.05338887300182825,0.007372003885101186,0.17442726428903424,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.015_eg0.65,0.2,0.11,12,2,0.25,-0.015,0.65,-0.025,0.18,129.0,0.07682879903479845,0.07403078350140865,1.0395167698954033,1.8935287143701096,-0.09371054957575864,0.8198521872149257,2.216035002489481,0.6046511627906976,0.07780927995312491,0.05292457853634344,0.0073737212908402405,0.2248770316795078,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.020_eg0.50,0.2,0.11,12,2,0.25,-0.02,0.5,-0.025,0.18,129.0,0.07736175470007356,0.07473741303308683,1.0370499837741183,1.8831664585668368,-0.09444955155025714,0.819080169575066,2.2278539175034715,0.6046511627906976,0.07530055581726783,0.05345801832605575,0.007389762836729197,0.1517169886724653,False,True
sl0.20_vc0.110_tw12_k2_bf0.25_egs0.020_eg0.65,0.2,0.11,12,2,0.25,-0.02,0.65,-0.025,0.18,129.0,0.0773124577071147,0.07435739131943662,1.0413521631154141,1.8951811963542549,-0.09367734010454964,0.8253058596756618,2.226758304508638,0.6046511627906976,0.07673371625217187,0.05312655687473182,0.007371907727181102,0.1946141041681357,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.010_eg0.50,0.2,0.11,12,2,0.5,-0.01,0.5,-0.025,0.18,129.0,0.07680467524495205,0.0735158011675703,1.045964159350377,1.9183670077492745,-0.09415690806563282,0.8157094027706894,2.215501377051066,0.5891472868217055,0.08131500523033934,0.05302147434852333,0.014669469359414376,0.19558002870408991,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.010_eg0.65,0.2,0.11,12,2,0.5,-0.01,0.65,-0.025,0.18,129.0,0.07752492401673305,0.0731470131884557,1.0600700621772088,1.9493320106837162,-0.09349835241915627,0.8291581831216255,2.2314838018798486,0.5891472868217055,0.08158790416907613,0.05291010967584008,0.014685872079310469,0.25227560746475336,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.015_eg0.50,0.2,0.11,12,2,0.5,-0.015,0.5,-0.025,0.18,129.0,0.07662114886205385,0.07378811843675641,1.0400483080833416,1.906014100154961,-0.09438418435483797,0.8118007204893155,2.2114455330178844,0.5891472868217055,0.08113589110876611,0.053029534140928376,0.014670221991889358,0.17556196711504896,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.015_eg0.65,0.2,0.11,12,2,0.5,-0.015,0.65,-0.025,0.18,129.0,0.07636559792597719,0.07338774054154394,1.0420722907088409,1.9107445472464006,-0.09368164280227775,0.8151607469902359,2.2058091980569072,0.5891472868217055,0.08224415480968152,0.052638436195565665,0.014675452318993061,0.22647327397412598,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.020_eg0.50,0.2,0.11,12,2,0.5,-0.02,0.5,-0.025,0.18,129.0,0.07687731473748238,0.07401777792947473,1.0402833707756738,1.9051093481986472,-0.09432201298528609,0.8150516756833316,2.21710853730706,0.5891472868217055,0.08043366908209595,0.053111547389042495,0.01470656413184599,0.15270521498752312,False,True
sl0.20_vc0.110_tw12_k2_bf0.50_egs0.020_eg0.65,0.2,0.11,12,2,0.5,-0.02,0.65,-0.025,0.18,129.0,0.07683939947610008,0.07369943118104175,1.043981712602469,1.9139837804424682,-0.09358220648267912,0.821089845646267,2.2162695242823567,0.5891472868217055,0.0813401060922231,0.052766989951782736,0.014668777802262131,0.19593775782396877,False,True
