month,return,baseline_return,defensive_return,risk_probability,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2014-08,-0.0168508563797694,-0.0168508563797694,0.004863688723921733,0.05745454545454545,0.0,0.0,0.027676889176757,0.0,0.0,0.0,3.003909220390855,-0.08619313235663939
2014-09,-0.0086865756944326,-0.0086865756944326,0.012673544771366618,0.05793145468392994,0.0,0.0,0.3243015281827073,0.0,0.0,0.0,2.977815535568726,-0.09413098488251581
2014-10,-0.023304695730693,-0.023304695730693,0.006917803911703713,0.05839985107967238,0.0,0.0,0.339378986344801,0.0,0.0,0.0,2.908418450570166,-0.11524198665169139
2014-11,0.017063204481462,0.017063204481462,0.004371994253950406,0.058859951456310684,0.0,0.0,0.0909859064861226,0.0,0.0,0.0,2.9580453893099015,-0.10014517975331716
2014-12,-0.013062446851575,-0.013062446851575,0.0006840370623717451,0.05835042735042736,0.0,0.0,0.2640330519297769,0.0,0.0,0.0,2.9194060786274942,-0.11189948551692308
2015-01,0.0397951529669307,0.0397951529669307,0.014168530947054503,0.05880371660859467,0.0,0.0,0.0344098158143575,0.0,0.0,0.0,3.0355842900990626,-0.07655738969305914
2015-02,-0.007874904434564,-0.007874904434564,-0.002022058823529349,0.05830575130711526,0.0,0.0,0.0586564491787038,0.0,0.0,0.0,3.011679353911469,-0.08382941200003058
2015-03,0.0134953127837318,0.0134953127837318,0.011911340332780629,0.0578177570093458,0.0,0.0,0.0815485526585193,0.0,0.0,0.0,3.052322908796812,-0.07146540335171536
2015-04,0.0041107083279732,0.0041107083279732,-0.007705843092045472,0.05733943355119826,0.0,0.0,0.1110455147886411,0.0,0.0,0.0,3.0648701179976663,-0.06764846845246208
2015-05,-0.0033192113363168,-0.0033192113363168,0.004647181117769517,0.056870492852570946,0.0,0.0,0.0360694902820264,0.0,0.0,0.0,3.05469716635767,-0.07074314022540695
2015-06,-0.0200138061439413,-0.0200138061439413,-0.0018259281801583649,0.05731974921630094,0.0,0.0,0.120100588624679,0.0,0.0,0.0,2.9935610494417406,-0.0893411068748633
2015-07,-0.0129885150615836,-0.0129885150615836,0.004024390243902332,0.05776146601146601,0.0,0.0,0.0892134539949077,0.0,0.0,0.0,2.9546791366632967,-0.10116921362418418
2015-08,0.0013908787746987,0.0013908787746987,0.006073120369245677,0.05819582664526485,0.0,0.0,0.022890040750915,0.0,0.0,0.0,2.958788737160527,-0.09991904896136816
2015-09,0.007996762122306605,0.0080278698389513,0.008511408909815277,0.561808463395012,0.123616926790024,0.012361692679002402,0.0688167842235748,0.024723385358004803,3.70850780370072e-05,0.0,2.9824494668617603,-0.09272131570509257
2015-10,0.014872027104140512,0.0162355259929656,0.0013766684623213177,0.8921258581235699,0.7842517162471399,0.07842517162471399,0.20333658510952538,0.13212695789142317,0.00019819043683713477,0.0,3.026804536169658,-0.07922824252124983
2015-11,-0.02056459865259302,-0.0217034887065412,-0.005738194859533863,0.8622842809364548,0.7245685618729096,0.07245685618729096,0.11642555519626226,0.01193663087484606,1.7904946312269092e-05,0.0,2.964559515683481,-0.09816354416444295
2015-12,0.002325917152146427,0.0025432877207083,0.008957556811350242,0.07872335423197493,0.0,0.0,0.17839451944545331,0.14491371237458192,0.0002173705685618729,0.0,2.9714548355095682,-0.09606594728338402
2016-01,0.002334324184356,0.002334324184356,0.008758863135315487,0.07890127724959187,0.0,0.0,0.0021345895548203,0.0,0.0,0.0,2.97839117439482,-0.09395587216306467
2016-02,0.0387625765530308,0.0387625765530308,0.006792675723567454,0.3041010430247718,0.0,0.0,0.0256890853839694,0.0,0.0,0.0,3.0938412902971706,-0.05883526729736144
