name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
level_lt0.90_mw10_st0.10_rt1.00_bs0.50_rb0.10,coarse,level,0.9,10,0.1,1.0,0.5,0.1,0.04,0.12436043529997276,0.9139182661060308,-0.14213786411307483,0.874928268241321,0.012405710127921354,0.2064925709284055,-0.12282247258963552,0.10100521399996812,0.3297842247897011,0.13335796490935656
momentum_lt0.80_mw5_st0.05_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,5,0.05,0.25,0.5,0.05,0.04,0.12407704480660375,0.9301222295103428,-0.13391318313875245,0.926548394253633,0.013803630556384672,0.22746001974172195,-0.11421074390433872,0.1208610511104489,0.22719786684409854,0.09177345341477061
momentum_lt0.80_mw5_st0.05_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,5,0.05,0.25,0.5,0.1,0.04,0.12117041678993279,0.9097151737907617,-0.1278350095559364,0.9478656684960202,0.016093404555270308,0.2612654830184545,-0.1107455942825587,0.14531868883388036,0.17891825355694516,0.07177547657893715
momentum_lt0.80_mw5_st0.05_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,5,0.05,0.5,0.5,0.05,0.04,0.11611516520931331,0.8826334171960829,-0.14662254619151704,0.7919325385172669,0.0042162829296663595,0.0938630364564496,-0.12044900421626814,0.03500471387954321,0.4335657644545648,0.1766167224756275
momentum_lt0.80_mw5_st0.05_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,5,0.05,0.5,0.5,0.1,0.04,0.11751541164482382,0.8866830040872085,-0.15071025739479593,0.7797439515811062,0.004687170397396745,0.10060657725177831,-0.1242285999840349,0.037730203817793254,0.3462110558148001,0.14065691106907074
momentum_lt0.80_mw5_st0.05_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,5,0.05,0.75,0.5,0.05,0.04,0.10571696823507559,0.810739042043913,-0.17638486618090177,0.5993539611649641,-0.009494998341122884,-0.08853146241886635,-0.14330664584640074,-0.06625651088994042,0.6408272011402185,0.2619983852068058
momentum_lt0.80_mw5_st0.05_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,5,0.05,0.75,0.5,0.1,0.04,0.10759318661835415,0.82497759947894,-0.16085951603775528,0.6688642939414352,-0.003907545536646739,-0.014726583293953658,-0.1288308759031065,-0.030330815569286344,0.5691903838550852,0.23240726107042972
momentum_lt0.80_mw5_st0.05_rt1.00_bs0.50_rb0.05,coarse,momentum,0.8,5,0.05,1.0,0.5,0.05,0.04,0.0945122727181249,0.726496217987789,-0.21785178956248552,0.4338374860630481,-0.021798832699952087,-0.24111146396535973,-0.17825810966573385,-0.12228802796590199,0.8518510339906439,0.3489639659579694
momentum_lt0.80_mw5_st0.05_rt1.00_bs0.50_rb0.10,coarse,momentum,0.8,5,0.05,1.0,0.5,0.1,0.04,0.09943210943962155,0.7661914126808548,-0.1905298920117936,0.5218714417445154,-0.01532536621727032,-0.1608236822312137,-0.1567386207477589,-0.09777657953194313,0.7767851406594944,0.31782309517745216
momentum_lt0.80_mw5_st0.10_rt0.25_bs0.50_rb0.05,coarse,momentum,0.8,5,0.1,0.25,0.5,0.05,0.04,0.12703779455785225,0.946322742685501,-0.1295772586967836,0.9804019303659308,0.01849960539517226,0.29162120735333963,-0.11137046443613385,0.1661087209147896,0.19050585221977268,0.07664963851107943
momentum_lt0.80_mw5_st0.10_rt0.25_bs0.50_rb0.10,coarse,momentum,0.8,5,0.1,0.25,0.5,0.1,0.04,0.12453671098589769,0.9257606055840797,-0.13001562033708947,0.9578596068919512,0.020208568569272556,0.31816215127472636,-0.10572051355882583,0.1911508740262404,0.1640384800063389,0.06561832836105062
momentum_lt0.80_mw5_st0.10_rt0.50_bs0.50_rb0.05,coarse,momentum,0.8,5,0.1,0.5,0.5,0.05,0.04,0.12266311892344484,0.9165734704295262,-0.13978737496633786,0.8774978352156859,0.011625465231063448,0.19678150269810898,-0.11723071893355896,0.0991673968804391,0.3275911990099383,0.13317072451118783
momentum_lt0.80_mw5_st0.10_rt0.50_bs0.50_rb0.10,coarse,momentum,0.8,5,0.1,0.5,0.5,0.1,0.04,0.12101348348397467,0.9031784436787422,-0.13939468022559576,0.8681355937552779,0.013342334835718228,0.2189835527694026,-0.11905532632525528,0.11206835718771123,0.27014466356460987,0.10929549321186735
momentum_lt0.80_mw5_st0.10_rt0.75_bs0.50_rb0.05,coarse,momentum,0.8,5,0.1,0.75,0.5,0.05,0.04,0.11462606143407328,0.8567502668705876,-0.15162576548232154,0.7559801005419349,0.003156838470572909,0.07943913407344418,-0.12348001889222893,0.025565581370117375,0.45458596334684465,0.18531906219995858
momentum_lt0.80_mw5_st0.10_rt0.75_bs0.50_rb0.10,coarse,momentum,0.8,5,0.1,0.75,0.5,0.1,0.04,0.1161399648249355,0.8727522148721291,-0.1509393169975939,0.7694480612151363,0.0065551403264125785,0.12553936936118176,-0.12329449254721281,0.053166529915376695,0.4037240265496104,0.1642873137550539
