target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2008-08,2008-07,2008-07-31,0.5759563906670592,kr_plus_global,0.5063759377803945,-0.012835586909660912,0.0,-0.9023171229154368,2103,53,4
2008-09,2008-08,2008-08-29,0.6971708505706243,kr_plus_global,1.0,0.004974597798475866,1.0,-0.007292106160130377,2123,53,157
2008-10,2008-09,2008-09-30,0.5329115156743898,kr_plus_global,0.2194101044959318,-0.0661236737755867,0.0,-0.9995458071091978,2144,53,79
2008-11,2008-10,2008-10-31,0.6462134218406221,kr_plus_global,0.9747561456041476,-0.03552542372881373,0.0,-1.0,2166,53,16
2008-12,2008-11,2008-11-28,0.5960281833896907,kr_plus_global,0.6401878892646045,0.026446751030854587,1.0,-1.0,2186,53,44
2009-01,2008-12,2008-12-30,0.6615922065517498,kr_plus_global,1.0,-0.008882815169115155,0.0,-0.9999999999998863,2207,53,77
2009-02,2009-01,2009-01-30,0.6124510577549006,kr_plus_global,0.749673718366004,0.0255071697614484,1.0,-0.9999963525924913,2226,53,16
2009-03,2009-02,2009-02-27,0.5314235092343134,kr_plus_global,0.2094900615620891,0.06677772144564353,1.0,-0.9999999902398713,2246,53,11
2009-04,2009-03,2009-03-31,0.5672765637745639,kr_plus_global,0.4485104251637595,0.09566269664352589,1.0,-0.9999999999924967,2268,53,2
2009-05,2009-04,2009-04-30,0.5539114973181642,kr_plus_global,0.359409982121095,0.00565006124677625,1.0,-0.6677024333119356,2290,53,2
2009-06,2009-05,2009-05-29,0.5606557043652536,kr_plus_global,0.4043713624350239,0.018899456793172842,1.0,-0.9998052263515413,2309,53,2
2009-07,2009-06,2009-06-30,0.590956058930132,kr_plus_global,0.6063737262008803,0.0024959988634452035,1.0,-0.0010680698743290122,2331,53,4
2009-08,2009-07,2009-07-31,0.5853460163249556,kr_plus_global,0.568973442166371,0.015670780564702946,1.0,0.9999778450305752,2354,53,2
2009-09,2009-08,2009-08-31,0.5634851280498621,kr_plus_global,0.42323418699908044,0.031189700091434958,1.0,0.41015158370407906,2375,53,2
2009-10,2009-09,2009-09-30,0.5543626819991982,kr_plus_global,0.362417879994655,-0.012635713975608365,0.0,0.9913070790116186,2397,53,2
2009-11,2009-10,2009-10-30,0.5419951869484,kr_plus_global,0.27996791298933327,-0.0019155368198130462,0.0,-0.8838467820997867,2418,53,2
2009-12,2009-11,2009-11-30,0.5449542200181038,kr_plus_global,0.29969480012069194,0.07135898009010178,1.0,-0.001103579887657501,2439,53,3
2010-01,2009-12,2009-12-30,0.5829172669164338,kr_plus_global,0.5527817794428918,0.00443006075366692,1.0,0.9999197123352456,2460,53,3
2010-02,2010-01,2010-01-29,0.5549598064266198,kr_plus_global,0.36639870951079867,-0.0070146813254980955,0.0,-9.433339754082282e-05,2480,53,2
2010-03,2010-02,2010-02-26,0.5685945093361542,kr_plus_global,0.45729672890769457,0.03541036680505072,1.0,-9.026115637833309e-05,2499,53,3
2010-04,2010-03,2010-03-31,0.5953506297480141,kr_plus_global,0.6356708649867608,0.027458617511925132,1.0,0.9640098849103622,2521,53,5
2010-05,2010-04,2010-04-30,0.5872356100193694,kr_plus_global,0.5815707334624628,-0.056644418717430534,0.0,0.06636692607711706,2543,53,10
2010-06,2010-05,2010-05-31,0.5272890952539867,kr_plus_global,0.18192730169324473,0.034802745157628046,1.0,-0.9951489059041172,2562,53,28
2010-07,2010-06,2010-06-30,0.6268947404122857,kr_plus_global,0.8459649360819044,0.03985622296010294,1.0,0.9918831018881066,2583,53,7
