target_month,signal_date,factor_name,score,p_up,realized_10d_return,realized_up
2013-11,2013-10-31,duration_aware_hsmm,0.9989497293298393,0.9994748646649196,-0.031647811292572214,0.0
2013-12,2013-11-29,duration_aware_hsmm,-0.8283098766405432,0.08584506167972838,-0.04380089046134805,0.0
2014-01,2013-12-30,duration_aware_hsmm,0.40090319676544467,0.7004515983827223,-0.037134477489857765,0.0
2014-02,2014-01-29,duration_aware_hsmm,-0.9999380570329481,3.0971483525932264e-05,-0.00019562924709592977,0.0
2014-03,2014-02-28,duration_aware_hsmm,0.9999598843674687,0.9999799421837343,-0.03367346472271038,0.0
2014-04,2014-03-31,duration_aware_hsmm,0.03639586512316824,0.5181979325615841,0.009042219848546251,1.0
2014-05,2014-04-30,duration_aware_hsmm,0.9369826812611692,0.9684913406305846,0.027042896889025503,1.0
2014-06,2014-05-30,duration_aware_hsmm,0.018133467739388096,0.509066733869694,-0.0013460182901907647,0.0
2014-07,2014-06-30,duration_aware_hsmm,0.00020665814538087414,0.5001033290726904,-0.010769089571904922,0.0
2014-08,2014-07-31,duration_aware_hsmm,0.02603000699463678,0.5130150034973184,-0.016672791950305466,0.0
2014-09,2014-08-29,duration_aware_hsmm,0.0003238728216709579,0.5001619364108355,-0.005665035736072688,0.0
2014-10,2014-09-30,duration_aware_hsmm,-0.00086889758494076,0.4995655512075296,-0.05289849572570715,0.0
2014-11,2014-10-31,duration_aware_hsmm,-0.700662120719648,0.14966893964017602,-0.008610933154640454,0.0
2014-12,2014-11-28,duration_aware_hsmm,-0.0007792609484004511,0.4996103695257998,-0.025509234978924322,0.0
2015-01,2014-12-30,duration_aware_hsmm,-0.00023911840893414956,0.4998804407955329,0.008917582300186577,1.0
2015-02,2015-01-30,duration_aware_hsmm,0.00012346322498252998,0.5000617316124912,-0.004732786178759829,0.0
2015-03,2015-02-27,duration_aware_hsmm,-0.0012536667038364,0.4993731666480818,0.0035411861362610875,1.0
2015-04,2015-03-31,duration_aware_hsmm,0.9943980112747273,0.9971990056373636,0.02873656806255731,1.0
2015-05,2015-04-30,duration_aware_hsmm,0.9999871245590832,0.9999935622795416,-0.020637851952848618,0.0
2015-06,2015-05-29,duration_aware_hsmm,-0.9998897155862285,5.514220688573879e-05,-0.03877151069052209,0.0
2015-07,2015-06-30,duration_aware_hsmm,-0.998472574503146,0.0007637127484270145,-0.013913443131731484,0.0
2015-08,2015-07-31,duration_aware_hsmm,0.4000446635146984,0.7000223317573492,-0.02982917654215589,0.0
2015-09,2015-08-31,duration_aware_hsmm,-0.8269783605255007,0.08651081973724967,0.004965276012869335,1.0
2015-10,2015-09-30,duration_aware_hsmm,1.8535422648251485e-05,0.5000092677113241,0.04928098742105824,1.0
2015-11,2015-10-30,duration_aware_hsmm,0.9999993018072738,0.9999996509036368,-0.03290092049934357,0.0
2015-12,2015-11-30,duration_aware_hsmm,-0.9928057015736451,0.003597149213177442,-0.02429548590131092,0.0
2016-01,2015-12-30,duration_aware_hsmm,-0.007972594027363463,0.49601370298631825,-0.04333515046887171,0.0
2016-02,2016-01-29,duration_aware_hsmm,-0.999954535707889,2.2732146055526314e-05,0.0036129199392633815,1.0
2016-03,2016-02-29,duration_aware_hsmm,0.9995273975580004,0.9997636987790002,0.02799816586009718,1.0
2016-04,2016-03-31,duration_aware_hsmm,0.9999926091762816,0.9999963045881408,0.011019512636409212,1.0
2016-05,2016-04-29,duration_aware_hsmm,-0.0008259615108868278,0.49958701924455656,-0.016360031195502334,0.0
2016-06,2016-05-31,duration_aware_hsmm,-0.9911315778986107,0.004434211050694636,-0.0016466303637346913,0.0
2016-07,2016-06-30,duration_aware_hsmm,0.21669269362857432,0.6083463468142871,0.019672251637469662,1.0
2016-08,2016-07-29,duration_aware_hsmm,0.9935732971080686,0.9967866485540343,0.017320260478874916,1.0
2016-09,2016-08-31,duration_aware_hsmm,0.0011855390921848223,0.5005927695460924,-0.00977116848767734,0.0
2016-10,2016-09-30,duration_aware_hsmm,-0.6993893185096205,0.15030534074518975,-0.0062341138759614,0.0
2016-11,2016-10-31,duration_aware_hsmm,0.9301101002306618,0.9650550501153309,-0.020172162157329643,0.0
2016-12,2016-11-30,duration_aware_hsmm,-0.9245948494326613,0.037702575283669326,0.026564283325657634,1.0
2017-01,2016-12-29,duration_aware_hsmm,-0.00021614275233380688,0.4998919286238331,0.03228857630582138,1.0
2017-02,2017-01-31,duration_aware_hsmm,0.9998546110076935,0.9999273055038467,-0.0023862617655840968,0.0
2017-03,2017-02-28,duration_aware_hsmm,0.9900921571688572,0.9950460785844286,0.029234851896953407,1.0
2017-04,2017-03-31,duration_aware_hsmm,0.2999923285084945,0.6499961642542472,-0.011387668998354417,0.0
2017-05,2017-04-28,duration_aware_hsmm,0.9979556638477278,0.9989778319238639,0.0427898802767912,1.0
2017-06,2017-05-31,duration_aware_hsmm,0.003819749541741021,0.5019098747708705,0.006048738904884887,1.0
2017-07,2017-06-30,duration_aware_hsmm,0.9997596360121819,0.9998798180060909,0.017078824695780037,1.0
2017-08,2017-07-31,duration_aware_hsmm,0.9976015242044786,0.9988007621022392,-0.02860787531212805,0.0
2017-09,2017-08-31,duration_aware_hsmm,-0.28235630701242037,0.3588218464937898,0.012982954197189756,1.0
2017-10,2017-09-29,duration_aware_hsmm,-0.8095644177999484,0.09521779110002582,0.04132488700668646,1.0
2017-11,2017-10-31,duration_aware_hsmm,0.7010464702861156,0.8505232351430578,0.0014982479495317946,1.0
2017-12,2017-11-30,duration_aware_hsmm,-0.2999888354508325,0.3500055822745838,0.005225076126984307,1.0
2018-01,2017-12-28,duration_aware_hsmm,-0.9822538067852886,0.00887309660735569,0.009457081544606893,1.0
