date,month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,stress,transfer_fraction,oil_cut,bond_share,state,signal_date,early_warning,confirmed_risk_off,panic,recovery,right_tail_relief,w_KODEX200,w_BOND,w_GLD,w_USO
2016-02-23,2016-02,0.0023486559433288264,0.0023486559433288264,2.724008699539277,-0.07570810920246607,0.0,0.0,0.0,0.024502089283966324,0.006125522320991581,1.0,0.0,Calm,2016-02-22,0.24502089283966322,0.0,0.0,0.0,0.0,0.49509665871443204,0.8105586508493146,0.18216417326040707,3.76028147742319e-18
2016-02-24,2016-02,-0.0002671519569719109,-0.0002671519569719109,2.7232809752843865,-0.0759550355899059,0.0,0.0,0.0,0.04929685488089668,0.01232421372022417,1.0,0.0,EarlyWarning,2016-02-23,0.4929685488089668,0.0,0.0,0.0,0.0,0.4908527215276168,0.8091823000087852,0.1867171768795821,3.533221649093372e-18
2016-02-25,2016-02,0.002126227103116379,0.002126227103116379,2.7290712891034374,-0.07399030614207891,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-24,0.0,0.0,0.0,0.0,0.0,0.49221762385546447,0.8099215839825676,0.18481884528770456,3.663621411483182e-18
2016-02-26,2016-02,-0.001162053387884751,-0.001162053387884751,2.7258999625661557,-0.07506637884404066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-25,0.0,0.0,0.0,0.0,0.0,0.49281476626421467,0.8089148993429406,0.18427083503613953,3.943423737092673e-18
2016-02-29,2016-02,0.0010450373807101546,0.0010450373807101546,2.7287486299231136,-0.07409978863525712,0.0,0.0,0.0,0.013246567173736757,0.003311641793434189,1.0,0.0,Calm,2016-02-26,0.13246567173736756,0.0,0.0,0.0,0.0,0.49092292009067146,0.8096659774150267,0.18605275262706097,3.854331996932229e-18
2016-03-01,2016-03,0.0036857854091938147,0.0037698376940675706,2.738806211808642,-0.07068711914583947,0.02499998932414298,7.499996797242894e-05,9.05231690132706e-06,0.02018763865202802,0.005046909663007005,1.0,0.0,Calm,2016-02-29,0.20187638652028017,0.0,0.0,0.0,0.0,0.5211975701700036,0.8099763819265142,0.1688260479034822,0.0
2016-03-02,2016-03,0.002280402902576135,0.002280402902576135,2.745051793443644,-0.06856791135493834,0.0,0.0,0.0,0.02018763865202802,0.005046909663007005,1.0,0.0,Calm,2016-02-29,0.20187638652028017,0.0,0.0,0.0,0.0,0.5260850912588033,0.8059875420773782,0.16612705961355942,0.0
2016-03-03,2016-03,0.0014358436573679012,0.0014358436573679012,2.748993258650406,-0.06723052049818845,0.0,0.0,0.0,0.02018763865202802,0.005046909663007005,1.0,0.0,Calm,2016-03-02,0.20187638652028017,0.0,0.0,0.0,0.0,0.5279232615241318,0.8028312039290919,0.16638908461579324,0.0
2016-03-04,2016-03,-0.00012330352186709675,-0.00012330352186709675,2.7486542981000257,-0.06734553426010115,0.0,0.0,0.0,0.02018763865202802,0.005046909663007005,1.0,0.0,Calm,2016-03-03,0.20187638652028017,0.0,0.0,0.0,0.0,0.5275994704482605,0.8015857846637544,0.16732276738741989,0.0
2016-03-07,2016-03,0.0024401363114034016,0.0024401363114034016,2.755361389260315,-0.0650697302322566,0.0,0.0,0.0,0.02018763865202802,0.005046909663007005,1.0,0.0,Calm,2016-03-04,0.20187638652028017,0.0,0.0,0.0,0.0,0.5288552973839625,0.8022506967279992,0.16554054806082286,0.0
2016-03-08,2016-03,-0.007544602465311573,-0.007544602465311573,2.7345732829300773,-0.07212340745044066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-07,0.0,0.0,0.0,-0.0,0.0,0.5283241524366173,0.8009096014464304,0.16628096779069057,0.0
2016-03-09,2016-03,0.005504341136551689,0.005504341136551689,2.7496253071422245,-0.06701605815242673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-08,0.0,0.0,0.0,-0.0,0.0,0.5268996084998767,0.8071877399325251,0.1652719675663364,0.0
2016-03-10,2016-03,0.0025525187549662407,0.0025525187549662407,2.756643777307835,-0.06463459914277836,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-09,0.0,0.0,0.0,-0.0,0.0,0.5283441503464482,0.8022031637380488,0.1661557042667003,0.0
2016-03-11,2016-03,0.0006078284807187014,0.0006078284807187014,2.7583193439068787,-0.06406605741225846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-10,0.0,0.0,0.0,-0.0,0.0,0.5309928568969995,0.7984204405786421,0.16610221998052643,0.0
2016-03-14,2016-03,-0.006720752118046483,-0.006720752118046483,2.739781363334068,-0.07035623743925667,0.0,0.0,0.0,0.009165732682362815,0.0022914331705907037,1.0,0.0,Calm,2016-03-11,0.09165732682362815,0.0,0.0,0.0,0.0,0.53466181040149,0.7983584912473469,0.16227129039373023,0.0
2016-03-15,2016-03,0.0009022721830989836,0.0009022721830989836,2.7422533918459773,-0.06951744573210661,0.0,0.0,0.0,0.0005831904147114986,0.00014579760367787464,1.0,0.0,Calm,2016-03-14,0.005831904147114986,0.0,0.0,0.0,0.0,0.5348040808557751,0.8039496636747239,0.15996671617299732,0.0
2016-03-16,2016-03,0.006689066414200241,0.006689066414200241,2.760596506908601,-0.06329338612935398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-15,0.0,0.0,0.0,0.0,0.0,0.5351901042982398,0.8029885266524773,0.16016980958866958,0.0
2016-03-17,2016-03,-0.0014992433283131507,-0.0014992433283131507,2.7564577010134537,-0.06469773727078632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-16,0.0,0.0,0.0,0.0,0.0,0.5340051722645199,0.7991559403280314,0.1619530443349288,0.0
2016-03-18,2016-03,0.0005695929344028246,0.0005695929344028246,2.758027759843931,-0.06416499571040479,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-17,0.0,0.0,0.0,0.0,0.0,0.5378298839042795,0.8011555188189272,0.1569493455174436,0.0
2016-03-21,2016-03,-0.0012657682673109373,-0.0012657682673109373,2.754536735825158,-0.06534954596227338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-18,0.0,0.0,0.0,0.0,0.0,0.5374158334075041,0.8009345034480013,0.1573792394965976,0.0
2016-03-22,2016-03,-0.0033535179700215235,-0.0033535179700215235,2.745299347382484,-0.06848391305557766,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-21,0.0,0.0,0.0,0.0,0.0,0.5368003118362428,0.8015259462791819,0.15810885028421057,0.0
2016-03-23,2016-03,-0.0003268564262103574,-0.0003268564262103574,2.744402028648921,-0.06878838507471374,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-22,0.0,0.0,0.0,0.0,0.0,0.5402326395593491,0.8038450867725738,0.15410531791546309,0.0
2016-03-24,2016-03,0.0015875786917175945,0.0015875786917175945,2.7487589828311108,-0.0673100133573784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-23,0.0,0.0,0.0,0.0,0.0,0.5381323058267702,0.8045803634453284,0.15571083002148783,0.0
2016-03-25,2016-03,-0.0019378637366256083,-0.0019378637366256083,2.7434322624775582,-0.06911743946000704,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-24,0.0,0.0,0.0,0.0,0.0,0.5384701514956274,0.8037767534321784,0.1554640186581374,0.0
2016-03-28,2016-03,0.002575759594373735,0.002575759594373735,2.7504986844491497,-0.06671970977346076,0.0,0.0,0.0,0.00011628399741731021,2.9070999354327554e-05,1.0,0.0,Calm,2016-03-25,0.0011628399741731021,0.0,0.0,0.0,0.0,0.5375632165112137,0.8054791723025923,0.1557125224651343,0.0
2016-03-29,2016-03,0.004783095215268104,0.004783095215268104,2.76365458154634,-0.06225574128277411,0.0,0.0,0.0,0.00013012098008120533,3.253024502030133e-05,1.0,0.0,Calm,2016-03-28,0.0013012098008120532,0.0,0.0,0.0,0.0,0.5370476821228518,0.8043525850898173,0.15615070351324076,0.0
2016-03-30,2016-03,-0.0010547416685998544,-0.0010547416685998544,2.760739639901566,-0.06324481922693348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-29,0.0,0.0,0.0,0.0,0.0,0.5396595117320476,0.8008520147841282,0.15474801440954153,0.0
2016-03-31,2016-03,-0.006437317273531845,-0.006437317273531845,2.7429678829299036,-0.06927500953319432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-03-30,0.0,0.0,0.0,0.0,0.0,0.541199415683918,0.8015097374639921,0.15315047867285636,0.0
2016-04-01,2016-04,0.0032054588911043405,0.005348221272414619,2.751760353718255,-0.06629160883732943,0.6271112179072003,0.0018813336537216007,0.0002614287275886773,0.0,0.0,1.0,0.0,Calm,2016-03-31,0.0,0.0,0.0,0.0,0.0,0.12753552985561553,0.48874445137234457,0.6743624925288113,0.0
2016-04-04,2016-04,0.007469151863983034,0.007469151863983034,2.7723136696934647,-0.059317599067060134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-01,0.0,0.0,0.0,0.0,0.0,0.1253047341346968,0.4866855848284673,0.6771510014939661,0.0
2016-04-05,2016-04,-0.0010823762221039014,-0.0010823762221039014,2.7693129832971746,-0.06033577133038159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-04,0.0,0.0,0.0,0.0,0.0,0.12417367308100477,0.482794706525591,0.6800739826622086,0.0
2016-04-06,2016-04,0.009017019838582422,0.009017019838582422,2.794283933406809,-0.05186280033886148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-05,0.0,0.0,0.0,0.0,0.061432677523566015,0.12360021103489273,0.48331783826144387,0.6804800639608374,0.0
2016-04-07,2016-04,-0.0025731691140533476,-0.0025731691140533476,2.7870937682934707,-0.05430251769691463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-06,0.0,0.0,0.0,0.0,0.061432677523566015,0.12359834350314243,0.478774315867376,0.6825014716724372,0.0
2016-04-08,2016-04,0.004585626897365542,0.004585626897365542,2.7998743404428375,-0.049965901885294706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-07,0.0,0.0,0.0,0.0,0.061432677523566015,0.1227865848652512,0.48017818176094396,0.682688739816269,0.0
2016-04-11,2016-04,-0.0008199776868673788,-0.0008199776868673788,2.7975785059576417,-0.05074490864751191,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-08,0.0,0.0,0.0,0.0,0.061432677523566015,0.12267627979865466,0.47804229826430183,0.6836752662466797,0.0
2016-04-12,2016-04,-0.005170789667408548,-0.005170789667408548,2.7831128159252714,-0.055653307065612445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-11,0.0,0.0,0.0,-0.0,0.0,0.12292711551125578,0.4785466626605037,0.6831977563070811,0.0
2016-04-13,2016-04,-0.003247807180650268,-0.003247807180650268,2.774073802137149,-0.058720363035948187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-12,0.0,0.0,0.0,-0.0,0.0,0.12356604956358164,0.48106214852154183,0.6815675032543422,0.0
2016-04-14,2016-04,0.0009908897190571476,0.0009908897190571476,2.7768226033475925,-0.05778765872092273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-12,0.0,0.0,0.0,-0.0,0.0,0.12679592588549674,0.48172557117094367,0.6786514329086996,0.0
2016-04-15,2016-04,0.0019252667596574092,0.0019252667596574092,2.782168727603283,-0.055973648619719096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-14,0.0,0.0,0.0,-0.0,0.0,0.12727564122482724,0.4814180512264807,0.6782396166749103,0.0
2016-04-18,2016-04,0.006675510264170373,0.006675510264170373,2.800741123501053,-0.0496717910214326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-15,0.0,0.0,0.0,0.0,0.08983551896047859,0.12607459664411294,0.48035212487137674,0.6799998012775066,0.0
2016-04-19,2016-04,-0.009833303872729087,-0.009833303872729087,2.7732005849648185,-0.05901665707914516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-18,0.0,0.0,0.0,0.0,0.0,0.12611367903707268,0.47741864040401577,0.6810391259959753,0.0
2016-04-20,2016-04,0.006325515152072457,0.006325515152072457,2.7907425072847496,-0.05306445268565152,0.0,0.0,0.0,0.04641551071338854,0.011603877678347136,1.0,0.0,Calm,2016-04-19,0.19798763566571434,0.05801938839173568,0.0,0.0,0.0,0.12736609025360648,0.4828946492610399,0.6771815063785818,0.0
2016-04-21,2016-04,-0.004945418680670787,-0.004945418680670787,2.7769411171562814,-0.05774744543073118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-20,0.0,0.0,0.0,0.0,0.0,0.1265153377046086,0.47946612588350224,0.6796984500290231,0.0
2016-04-22,2016-04,0.0023887460905052376,0.0023887460905052376,2.7835745243934515,-0.05549664332473536,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-21,0.0,0.0,0.0,0.0,0.0,0.12711890055434333,0.4817926255405046,0.6782329029852661,0.0
2016-04-25,2016-04,0.004316816232663365,0.004316816232663365,2.7955907040851815,-0.05141939590283451,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-22,0.0,0.0,0.0,0.0,0.0,0.12679080317150576,0.48078526596949495,0.6789286668620623,0.0
2016-04-26,2016-04,-0.0007660683382458353,-0.0007660683382458353,2.7934490905600873,-0.05214607346990752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-25,0.0,0.0,0.0,0.0,0.02390750277645004,0.12604544399379106,0.47902710573839863,0.680245116759544,0.0
2016-04-27,2016-04,0.006946325503712951,0.006946325503712951,2.8128532972211686,-0.045561971566257076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-04-26,0.0,0.0,0.0,0.0,0.03650926147158162,0.12649302917124466,0.47945046674850483,0.6796373546752758,0.0
