Strategy,max_shift,probability_scale,hard_fraction,leverage,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDD15Pass,CAGRRetention
EngineeredTechnical,0.15,0.15,0.4,1.2,0.04,129.0,0.11686295435149141,0.14051911308937065,0.8588634791684421,1.5769420392613402,-0.1422537732587974,0.8215104012663809,3.2809436647311574,0.5736434108527132,0.12893020468588193,True,0.9629706184360479
EngineeredTechnical,0.2,0.15,0.4,1.2,0.04,129.0,0.11479350354792595,0.14245715213750307,0.8359144193207394,1.5280058335446287,-0.1422537732587974,0.806962802590031,3.2161782743648355,0.5813953488372093,0.14941471602826778,True,0.945917991868534
TechnicalMLEnsemble,0.0,0.15,0.4,1.2,0.04,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389,True,1.0
TechnicalMLEnsemble,0.025,0.15,0.4,1.2,0.04,129.0,0.11869097120775396,0.13780607784505228,0.8851151402205564,1.6249249117092581,-0.1422537732587973,0.834360794014396,3.3391346280602594,0.5968992248062015,0.07823554036546275,True,0.9780337882177402
TechnicalMLEnsemble,0.05,0.15,0.4,1.2,0.04,129.0,0.11602491279391969,0.13788089078684823,0.867244185022557,1.5861210927604072,-0.1422537732587975,0.815619228481479,3.2545752001307946,0.5891472868217055,0.08266616646363506,True,0.9560650134781014
TechnicalMLEnsemble,0.075,0.15,0.4,1.2,0.04,129.0,0.11325759649790657,0.13809827161121363,0.8479547460115114,1.5436864404317887,-0.1422537732587974,0.7961658513750698,3.1688627062440027,0.5891472868217055,0.08749823810705806,True,0.9332618565686431
TechnicalMLEnsemble,0.1,0.15,0.4,1.2,0.04,129.0,0.11010276028897636,0.13867265440354473,0.8243818403496684,1.4888753598736189,-0.14298206876085418,0.7700459312358225,3.0736485836630227,0.5891472868217055,0.09233881460252392,True,0.907265469672241
TechnicalMLEnsemble,0.125,0.15,0.4,1.2,0.04,129.0,0.10695561277448795,0.1394206013342003,0.8001810871463728,1.4325134150686536,-0.14384154756409573,0.7435655037486897,2.9812590988006256,0.5891472868217055,0.09713002824412166,True,0.8813324389256355
TechnicalMLEnsemble,0.15,0.15,0.4,1.2,0.04,129.0,0.10412773411846499,0.14022330282877896,0.7780161804722228,1.381746695963559,-0.1531780368124147,0.6797824040921883,2.9003985405623225,0.5968992248062015,0.10195455755083226,False,0.8580302378700126
TechnicalMLEnsemble,0.2,0.15,0.4,1.2,0.04,129.0,0.09847653866849848,0.14220982727764428,0.7327542077044501,1.281432931053749,-0.17822896875279215,0.5525282413830706,2.7447383216496926,0.5891472868217055,0.11168181644930408,False,0.8114634262781253
