signal_month,horizon,probability,raw_probability,calibration_method,train_rows,feature_count,fit_end_month,max_label_month,best_iteration
2016-08,6,0.47890537604822175,0.42993207092585883,platt_recent_validation,119,47,2016-02,2016-08,41
2016-09,1,0.49993250153000973,0.5042248422338401,platt_recent_validation,125,47,2016-08,2016-09,1
2016-09,3,0.49999278538540703,0.5002480254531454,platt_recent_validation,123,47,2016-06,2016-09,1
2016-09,6,0.47504898482358043,0.4251123020219036,platt_recent_validation,120,47,2016-03,2016-09,41
2016-10,1,0.49990766523469443,0.5082898297655849,platt_recent_validation,126,47,2016-09,2016-10,1
2016-10,3,0.49996343296351103,0.5012081050421239,platt_recent_validation,124,47,2016-07,2016-10,1
2016-10,6,0.5689101157897537,0.4989048145768505,platt_recent_validation,121,47,2016-04,2016-10,93
2016-11,1,0.4999762082408241,0.49937048472994466,platt_recent_validation,127,47,2016-10,2016-11,1
2016-11,3,0.4999999994368449,0.5000000162289873,platt_recent_validation,125,47,2016-08,2016-11,1
2016-11,6,0.6696662906300022,0.6597774485169625,platt_recent_validation,122,47,2016-05,2016-11,76
2016-12,1,0.49997463643335793,0.507821652851635,platt_recent_validation,128,47,2016-11,2016-12,1
2016-12,3,0.5000685498359381,0.48436895350746123,platt_recent_validation,126,47,2016-09,2016-12,6
2016-12,6,0.6621195241166378,0.7062090440569051,platt_recent_validation,123,47,2016-06,2016-12,60
2017-01,1,0.4994268051600142,0.5341376149251718,platt_recent_validation,129,47,2016-12,2017-01,5
2017-01,3,0.4999999998875093,0.4999999907410259,platt_recent_validation,127,47,2016-10,2017-01,1
2017-01,6,0.5181287151306364,0.4180370140231785,platt_recent_validation,124,47,2016-07,2017-01,75
2017-02,1,0.5000000001536538,0.4999999887538405,platt_recent_validation,130,47,2017-01,2017-02,1
2017-02,3,0.5035956593571098,0.5097208311092998,platt_recent_validation,128,47,2016-11,2017-02,22
2017-02,6,0.5908571921887296,0.5162227653679076,platt_recent_validation,125,47,2016-08,2017-02,63
2017-03,1,0.5078076694535886,0.572714021572759,platt_recent_validation,131,47,2017-02,2017-03,18
2017-03,3,0.4999894672034828,0.4939066531429035,platt_recent_validation,129,47,2016-12,2017-03,1
2017-03,6,0.45375905717364645,0.364654760950418,platt_recent_validation,126,47,2016-09,2017-03,40
2017-04,1,0.4994820783142797,0.535995044125075,platt_recent_validation,132,47,2017-03,2017-04,8
2017-04,3,0.4999051690591757,0.49893741905550687,platt_recent_validation,130,47,2017-01,2017-04,1
2017-04,6,0.49987760362286576,0.44529763707203757,platt_recent_validation,127,47,2016-10,2017-04,19
2017-05,1,0.5,0.5028794554183085,platt_recent_validation,133,47,2017-04,2017-05,1
2017-05,3,0.5000031282707317,0.5016947531980399,platt_recent_validation,131,47,2017-02,2017-05,1
2017-05,6,0.4489519065883576,0.33878698223655107,platt_recent_validation,128,47,2016-11,2017-05,59
2017-06,1,0.5000235010468517,0.49605747689670054,platt_recent_validation,134,47,2017-05,2017-06,1
2017-06,3,0.5000559124757967,0.4984951665747726,platt_recent_validation,132,47,2017-03,2017-06,1
2017-06,6,0.46762814657820867,0.4452302521190917,platt_recent_validation,129,47,2016-12,2017-06,83
2017-07,1,0.499652047622307,0.509089879925608,platt_recent_validation,135,47,2017-06,2017-07,1
2017-07,3,0.49968230026642374,0.5078891935409675,platt_recent_validation,133,47,2017-04,2017-07,1
2017-07,6,0.4889690321961708,0.4706400298782434,platt_recent_validation,130,47,2017-01,2017-07,21
2017-08,1,0.500318628671066,0.5139709229056707,platt_recent_validation,136,47,2017-07,2017-08,3
2017-08,3,0.49950394524888486,0.4856162929753635,platt_recent_validation,134,47,2017-05,2017-08,4
2017-08,6,0.5206290060695451,0.5350707158975287,platt_recent_validation,131,47,2017-02,2017-08,28
2017-09,1,0.5002511771806045,0.51345067183686,platt_recent_validation,137,47,2017-08,2017-09,3
2017-09,3,0.49974859229356544,0.49267610381625754,platt_recent_validation,135,47,2017-06,2017-09,4
2017-09,6,0.5217605836877793,0.6050254659751957,platt_recent_validation,132,47,2017-03,2017-09,26
2017-10,1,0.4996619395596625,0.4868035434579331,platt_recent_validation,138,47,2017-09,2017-10,4
2017-10,3,0.499522602190331,0.49191704106453105,platt_recent_validation,136,47,2017-07,2017-10,2
2017-10,6,0.5014792438100298,0.5468498596689542,platt_recent_validation,133,47,2017-04,2017-10,10
2017-11,1,0.5002438530537208,0.5064053940109867,platt_recent_validation,139,47,2017-10,2017-11,2
2017-11,3,0.4982070539369137,0.46741602938674254,platt_recent_validation,137,47,2017-08,2017-11,4
