target_month,signal_date,factor_name,p_up,score,p_risk,switches_in_window,realized_10d_return,realized_up
2012-10,2012-09-28,jump_downside_sortino,0.97,0.94,0.03,14,-0.032116840976731176,0.0
2012-11,2012-10-31,jump_downside_sortino,0.8495938797909123,0.6991877595818246,0.15040612020908772,13,-0.011155503270179667,0.0
2012-12,2012-11-30,jump_downside_sortino,0.97,0.94,0.03,15,0.04050075148880783,1.0
2013-01,2012-12-28,jump_downside_sortino,0.97,0.94,0.03,14,-0.006200755949406278,0.0
2013-02,2013-01-31,jump_downside_sortino,0.9346986062159378,0.8693972124318756,0.0653013937840622,13,0.015552836179886675,1.0
2013-03,2013-02-28,jump_downside_sortino,0.97,0.94,0.03,13,-0.02716205155399265,0.0
2013-04,2013-03-29,jump_downside_sortino,0.9172999727963693,0.8345999455927388,0.08270002720363062,12,-0.045557152520240285,0.0
2013-05,2013-04-30,jump_downside_sortino,0.14362590319143398,-0.712748193617132,0.856374096808566,11,0.001367565033173923,1.0
2013-06,2013-05-31,jump_downside_sortino,0.13368660771507923,-0.7326267845698415,0.8663133922849208,10,-0.06275108911949989,0.0
2013-07,2013-06-28,jump_downside_sortino,0.030000000000000027,-0.94,0.97,9,0.0024829675948072616,1.0
2013-08,2013-07-31,jump_downside_sortino,0.9426545373671877,0.8853090747343754,0.05734546263281232,10,0.0024218885016238367,1.0
2013-09,2013-08-30,jump_downside_sortino,0.07993896147622537,-0.8401220770475493,0.9200610385237746,11,0.036290943840903145,1.0
2013-10,2013-09-30,jump_downside_sortino,0.97,0.94,0.03,12,0.028187748614441288,1.0
2013-11,2013-10-31,jump_downside_sortino,0.9377698298882318,0.8755396597764635,0.06223017011176822,12,-0.031647811292572214,0.0
2013-12,2013-11-29,jump_downside_sortino,0.9376789567894335,0.8753579135788669,0.06232104321056655,10,-0.04380089046134805,0.0
2014-01,2013-12-30,jump_downside_sortino,0.9428980313080024,0.8857960626160047,0.05710196869199762,12,-0.037134477489857765,0.0
