,signal_date,factor_name,p_up,score,p_extra_trees,p_hist_gradient_boosting,p_logistic,train_rows,feature_count,realized_10d_return,realized_up
2010-04,2010-03-31,technical_ml_ensemble,0.6129542584209111,0.7530283894727408,0.6572178672236525,0.5786973140373524,0.6029475940017287,1260.0,53.0,0.027458617511925132,1.0
2010-05,2010-03-31,technical_ml_ensemble,0.6129542584209111,0.7530283894727408,0.6572178672236525,0.5786973140373524,0.6029475940017287,1260.0,53.0,0.027458617511925132,1.0
2010-06,2010-03-31,technical_ml_ensemble,0.6129542584209111,0.7530283894727408,0.6572178672236525,0.5786973140373524,0.6029475940017287,1260.0,53.0,0.027458617511925132,1.0
2010-07,2010-06-30,technical_ml_ensemble,0.6572712649648981,1.0,0.7123866460670711,0.7584494432670996,0.5009777055605235,1260.0,53.0,0.03985622296010294,1.0
2010-08,2010-06-30,technical_ml_ensemble,0.6572712649648981,1.0,0.7123866460670711,0.7584494432670996,0.5009777055605235,1260.0,53.0,0.03985622296010294,1.0
2010-09,2010-06-30,technical_ml_ensemble,0.6572712649648981,1.0,0.7123866460670711,0.7584494432670996,0.5009777055605235,1260.0,53.0,0.03985622296010294,1.0
2010-10,2010-09-30,technical_ml_ensemble,0.6785674428362264,1.0,0.6577160955727334,0.7437795865937918,0.6342066463421537,1260.0,53.0,0.015394026098766167,1.0
2010-11,2010-09-30,technical_ml_ensemble,0.6785674428362264,1.0,0.6577160955727334,0.7437795865937918,0.6342066463421537,1260.0,53.0,0.015394026098766167,1.0
2010-12,2010-09-30,technical_ml_ensemble,0.6785674428362264,1.0,0.6577160955727334,0.7437795865937918,0.6342066463421537,1260.0,53.0,0.015394026098766167,1.0
2011-01,2010-12-30,technical_ml_ensemble,0.7265876654934398,1.0,0.7696229818781802,0.7615397036125484,0.6486003109895906,1260.0,53.0,0.02813093657383381,1.0
2011-02,2010-12-30,technical_ml_ensemble,0.7265876654934398,1.0,0.7696229818781802,0.7615397036125484,0.6486003109895906,1260.0,53.0,0.02813093657383381,1.0
2011-03,2010-12-30,technical_ml_ensemble,0.7265876654934398,1.0,0.7696229818781802,0.7615397036125484,0.6486003109895906,1260.0,53.0,0.02813093657383381,1.0
2011-04,2011-03-31,technical_ml_ensemble,0.613157199926377,0.7543813328425131,0.6006531675828708,0.5966952962231947,0.6421231359730656,1260.0,53.0,0.016561388181291825,1.0
2011-05,2011-03-31,technical_ml_ensemble,0.613157199926377,0.7543813328425131,0.6006531675828708,0.5966952962231947,0.6421231359730656,1260.0,53.0,0.016561388181291825,1.0
2011-06,2011-03-31,technical_ml_ensemble,0.613157199926377,0.7543813328425131,0.6006531675828708,0.5966952962231947,0.6421231359730656,1260.0,53.0,0.016561388181291825,1.0
2011-07,2011-06-30,technical_ml_ensemble,0.6150497749090148,0.766998499393432,0.6779686742902222,0.6793797958152931,0.4878008546215292,1260.0,53.0,0.007929227340887524,1.0
2011-08,2011-06-30,technical_ml_ensemble,0.6150497749090148,0.766998499393432,0.6779686742902222,0.6793797958152931,0.4878008546215292,1260.0,53.0,0.007929227340887524,1.0
2011-09,2011-06-30,technical_ml_ensemble,0.6150497749090148,0.766998499393432,0.6779686742902222,0.6793797958152931,0.4878008546215292,1260.0,53.0,0.007929227340887524,1.0
