Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
subperiod_2013_2017,VolumeDomestic,60.0,0.02409618963127258,0.06316862955469488,0.4083462847956141,0.6433595360204908,-0.08342541861375741,0.28883510603444496,1.1264288142896082,0.5166666666666667,0.07079675524113295
subperiod_2013_2017,IndexVolumeRaw,60.0,0.027857997904414455,0.06390367998099045,0.46185102108487164,0.7416860346973639,-0.08342541861375741,0.33392697774033686,1.1472698952012637,0.5166666666666667,0.07074340450631339
subperiod_2013_2017,IndexVolumeComposite,60.0,0.0279134690381877,0.06420063748434307,0.4608537252348226,0.7375175761053725,-0.08342541861375741,0.3345918965947458,1.1475795062145522,0.5166666666666667,0.07517464259758704
subperiod_2013_2017,CompositePlusIndexVolume,60.0,0.024510148458639858,0.06467951854584596,0.4065125486319756,0.6460648501226823,-0.08366582590280613,0.29295292545265833,1.1287072734746302,0.5333333333333333,0.08785565853813398
subperiod_2013_2017,CorrelationDomestic,60.0,0.02503731799275144,0.06361594147817068,0.4203674167756006,0.669645840763734,-0.08342541861375741,0.3001161805213,1.1316141882955573,0.5166666666666667,0.0713260061630206
subperiod_2013_2017,BreadthDomestic,60.0,0.026058872143237766,0.06351725781065942,0.436655473714037,0.6925242428980185,-0.08342541861375741,0.31236129918490435,1.1372642831841289,0.5166666666666667,0.06882735135073532
subperiod_2013_2017,TailShapeDomestic,60.0,0.02446995672184582,0.06605825471984007,0.3988005541431769,0.6257224809650694,-0.08342541861375741,0.2933153603356395,1.128485893791237,0.5333333333333333,0.06490815315813404
subperiod_2013_2017,CompositePlusVol15,60.0,0.018467468722771496,0.07888474963653729,0.2709890873853723,0.40907058762577814,-0.10675687591471861,0.17298622280333495,1.0958113841608985,0.5,0.09048314176354906
subperiod_2013_2017,CompositeIndexVolumePlusVol15,60.0,0.017635626440990038,0.07884764470286112,0.26068168194636065,0.39513029416450585,-0.10704972705332838,0.16474237652380555,1.0913436202631654,0.5166666666666667,0.10976824229728623
subperiod_2018_2021,FinalBlend,48.0,0.11664518904010657,0.12576058154465408,0.9438335239359456,1.4299366390803492,-0.09894728066339109,1.1788619986123925,1.5547508273635622,0.625,0.12120172850038817
subperiod_2018_2021,VolTarget15,48.0,0.10491008141225455,0.1386706811407194,0.7918729942428154,1.1542613132969417,-0.12737638484541602,0.8236226953651843,1.490416825487571,0.625,0.14687695174434773
subperiod_2018_2021,CompositeDomestic,48.0,0.11194826947863068,0.11807454375237117,0.9613008805034117,1.459463458592011,-0.09894728066339098,1.1313930886030896,1.5287565582809322,0.625,0.13007303997756833
subperiod_2018_2021,VolumeDomestic,48.0,0.10919557396933399,0.10623525815485961,1.0322913181293136,1.617233718515407,-0.09894728066339109,1.103573268888577,1.513674559542833,0.625,0.12901794948662018
subperiod_2018_2021,IndexVolumeRaw,48.0,0.10561520891349074,0.10881103266338363,0.9804806033318451,1.5096183426845244,-0.09847825620509387,1.0724723708910242,1.4942250642193673,0.625,0.13861962508704836
subperiod_2018_2021,IndexVolumeComposite,48.0,0.10808248240649498,0.10901596756824097,0.9993929922593301,1.556858978760905,-0.09613313391360667,1.124299999453123,1.507607734350414,0.625,0.13288733639721112
subperiod_2018_2021,CompositePlusIndexVolume,48.0,0.11084098178267521,0.11390246103237353,0.9833353461635269,1.5195943904683809,-0.09894728066339098,1.120202405154978,1.5226762520860346,0.625,0.1415245108084616
subperiod_2018_2021,CorrelationDomestic,48.0,0.10612680404191521,0.115888866105306,0.9316971159777386,1.3980317267173852,-0.09894728066339109,1.0725590772216183,1.4969926419715633,0.6041666666666666,0.13580182287414178
subperiod_2018_2021,BreadthDomestic,48.0,0.10597160802497463,0.11674127964462193,0.9245000176611599,1.3871630841842437,-0.0989472806633912,1.0709906054465457,1.4961526717119369,0.625,0.13766716611419014
subperiod_2018_2021,TailShapeDomestic,48.0,0.11009685999549745,0.12064687640784301,0.9295742393662203,1.386210013762097,-0.0989472806633912,1.1126820187210198,1.5186003542903723,0.625,0.12514752856092304
subperiod_2018_2021,CompositePlusVol15,48.0,0.10954731379211191,0.13271018658410758,0.8529169208187496,1.2696866782735676,-0.12557237552584932,0.872383860967585,1.5155954937505351,0.625,0.1570707409746649
subperiod_2018_2021,CompositeIndexVolumePlusVol15,48.0,0.11335458970150203,0.12662691547267288,0.9146248015533354,1.4105829523435196,-0.12557237552584943,0.9027032356982659,1.5365051321484178,0.625,0.16481606173692734
subperiod_2022_2026,FinalBlend,55.0,0.21996251088898,0.16032962473934478,1.3279437728604377,2.616276096492908,-0.14900559871229768,1.4762029936451382,2.4874520832381,0.6363636363636364,0.08389022809505779
subperiod_2022_2026,VolTarget15,55.0,0.2432207883632913,0.15478290138811732,1.492484448860405,3.6989271545812916,-0.09413243922874981,2.583814786444067,2.7123529846159053,0.6363636363636364,0.09506306430184404
subperiod_2022_2026,CompositeDomestic,55.0,0.21948912606158255,0.14985799971370717,1.4068456543817414,3.037814240344824,-0.13586467627478338,1.6154980976635203,2.4830312708993256,0.6363636363636364,0.09490415870521642
subperiod_2022_2026,VolumeDomestic,55.0,0.21440890264422885,0.14724046692185613,1.4002139433343366,3.139328800750452,-0.13143516404798616,1.6312902578030752,2.435974020416707,0.6363636363636364,0.09185261791309551
subperiod_2022_2026,IndexVolumeRaw,55.0,0.21823020934241866,0.14686477265640438,1.4251225463796788,3.2431966725107433,-0.1232821624641327,1.7701685708661203,2.471304473968589,0.6363636363636364,0.09545299269404514
subperiod_2022_2026,IndexVolumeComposite,55.0,0.21459067569987544,0.14722480685084965,1.4013757292965567,3.1497607161393355,-0.12886756486876816,1.665203155801098,2.437645631063214,0.6363636363636364,0.0939938861883388
subperiod_2022_2026,CompositePlusIndexVolume,55.0,0.21811778867605103,0.14706420401547982,1.4228475257234579,3.186514447188816,-0.13181311647933025,1.6547502593207732,2.470259386396076,0.6363636363636364,0.09942635483144088
