target_month,bucket_signal_month,bucket_signal_date,wing_asym_near,wing_asym_next,wing_asym_equal_months,bucket_direction_near,bucket_direction_next,bucket_direction_equal_months
2014-04,2014-03,2014-03-31,0.041999999999999996,0.03299999999999999,0.03749999999999999,-0.041999999999999996,-0.03299999999999999,-0.03749999999999999
2014-05,2014-04,2014-04-30,0.021000000000000005,0.016,0.018500000000000003,-0.021000000000000005,-0.016,-0.018500000000000003
2014-06,2014-05,2014-05-30,0.023000000000000007,0.008999999999999994,0.016,-0.023000000000000007,-0.008999999999999994,-0.016
2014-07,2014-06,2014-06-30,-0.0030000000000000027,0.0020000000000000018,-0.0005000000000000004,0.0030000000000000027,-0.0020000000000000018,0.0005000000000000004
2014-08,2014-07,2014-07-31,-0.0040000000000000036,-0.01100000000000001,-0.007500000000000007,0.0040000000000000036,0.01100000000000001,0.007500000000000007
2014-09,2014-08,2014-08-29,0.013999999999999999,0.0030000000000000027,0.0085,-0.013999999999999999,-0.0030000000000000027,-0.0085
2014-10,2014-09,2014-09-30,0.030000000000000013,0.02500000000000001,0.02750000000000001,-0.030000000000000013,-0.02500000000000001,-0.02750000000000001
2014-11,2014-10,2014-10-31,0.032,0.016,0.024,-0.032,-0.016,-0.024
2014-12,2014-11,2014-11-28,0.0020000000000000018,-0.006000000000000005,-0.0020000000000000018,-0.0020000000000000018,0.006000000000000005,0.0020000000000000018
2015-01,2014-12,2014-12-30,0.007999999999999993,0.006000000000000005,0.006999999999999999,-0.007999999999999993,-0.006000000000000005,-0.006999999999999999
2015-02,2015-01,2015-01-30,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,0.006000000000000005,0.006000000000000005,0.006000000000000005
2015-03,2015-02,2015-02-27,0.023000000000000007,0.01200000000000001,0.01750000000000001,-0.023000000000000007,-0.01200000000000001,-0.01750000000000001
2015-04,2015-03,2015-03-31,-0.006000000000000005,-0.0010000000000000009,-0.003500000000000003,0.006000000000000005,0.0010000000000000009,0.003500000000000003
2015-05,2015-04,2015-04-30,0.0,-0.0049999999999999906,-0.0024999999999999953,-0.0,0.0049999999999999906,0.0024999999999999953
2015-06,2015-05,2015-05-29,0.019000000000000003,0.013999999999999999,0.0165,-0.019000000000000003,-0.013999999999999999,-0.0165
2015-07,2015-06,2015-06-30,0.05599999999999998,0.02100000000000002,0.0385,-0.05599999999999998,-0.02100000000000002,-0.0385
2015-08,2015-07,2015-07-31,0.0020000000000000018,0.0040000000000000036,0.0030000000000000027,-0.0020000000000000018,-0.0040000000000000036,-0.0030000000000000027
2015-09,2015-08,2015-08-31,0.063,0.04799999999999999,0.055499999999999994,-0.063,-0.04799999999999999,-0.055499999999999994
2015-10,2015-09,2015-09-30,0.014000000000000012,0.02099999999999999,0.0175,-0.014000000000000012,-0.02099999999999999,-0.0175
2015-11,2015-10,2015-10-30,0.010000000000000009,0.007000000000000006,0.008500000000000008,-0.010000000000000009,-0.007000000000000006,-0.008500000000000008
2015-12,2015-11,2015-11-30,0.018000000000000016,-0.0010000000000000009,0.008500000000000008,-0.018000000000000016,0.0010000000000000009,-0.008500000000000008
2016-01,2015-12,2015-12-30,0.0030000000000000027,0.017000000000000015,0.010000000000000009,-0.0030000000000000027,-0.017000000000000015,-0.010000000000000009
