month,signal_month,regime,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,objective_mode,solver_success,used_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_squared_loss,expected_log_growth,expected_cagr,standardized_mse_quality,standardized_log_growth,combined_score,target_volatility,sum_error,volatility_slack,cdar_slack,w_KODEX200,w_BOND,w_GLD,w_USO
2019-04,2019-03,Slowdown,0.011800632799712534,0.011948026432511558,2.0518276641658852,-0.07461521352870049,0.04779647067922129,0.00014338941203766387,4.004220761360228e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.7066587213337281,0.0050943919314671345,0.0003357558933643794,0.061132703177605614,0.06347496136566412,0.9630994940734928,0.9901729248595816,0.05911816781741934,0.060900597641559605,0.7066388540089404,0.7066785886585158,0.7066587213337281,0.07204360911856833,0.0,0.00856864775290421,-9.18709552877317e-15,0.30569973214983964,0.24778691731997962,0.44651335053018065,0.0
2019-05,2019-04,Slowdown,0.025483992092377047,0.02636801598482842,2.1041164241344092,-0.05103271494785977,0.28790105423503815,0.0008637031627051144,2.0320729746257232e-05,combined,True,False,False,0,Optimization terminated successfully,5,-0.7191247408440495,0.004957311040253796,0.0003473951550638336,0.05948773248304555,0.06456579482021423,0.9213505796481136,0.9904573480073062,0.05740336155266255,0.0590829175804342,0.7190343096554227,0.7192151720326764,0.7191247408440495,0.07189196946844006,0.0,0.007326174648225839,1.3322676295501878e-15,0.02,0.4928612749719217,0.48713872502807715,1.1460706219688996e-15
2019-06,2019-05,Slowdown,0.03199507720442247,0.03275405277416403,2.171437791571683,-0.020670433398145338,0.2460100402438763,0.0007380301207316289,2.0945449009935807e-05,combined,True,False,False,0,Optimization terminated successfully,27,-0.7006161834453544,0.004746493733314069,0.0002797672038234993,0.05695792479976883,0.057941405280524494,0.9830262922344716,0.9908093089399558,0.05527932157682783,0.05683577048574223,0.7005619947270942,0.7006703721636146,0.7006161834453544,0.0714344541784093,0.0,0.013493048897884802,-4.4326078918466294e-10,0.2640754298154709,0.28089669750674046,0.4550278726777887,2.7755575615628747e-17
2019-07,2019-06,Slowdown,0.006597787498285377,0.006681231358384596,2.185764476686219,-0.014209025026918343,0.027143421720390568,8.14302651611717e-05,2.0135949380465925e-06,combined,True,False,False,0,Optimization terminated successfully,11,-0.730767987710222,0.005729314085650652,0.0003068831825635193,0.06875176902780782,0.06068441472703046,1.1329394760922682,0.9888810800511542,0.0669104699324267,0.06919974836359559,0.7308230017957833,0.7307129736246606,0.730767987710222,0.0708552484250443,0.0,0.010170833698013838,-1.338957833496579e-10,0.24516948821574325,0.29637353705798525,0.4584569747262713,3.3306690738754676e-16
2019-08,2019-07,Slowdown,0.05481368767148403,0.05506440974294494,2.3055742880347223,0.0,0.08316515816201214,0.0002494954744860364,1.2265969748826433e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.7544142040234503,0.006057532647996898,0.0002905460139059166,0.07269039177596279,0.059047033514572085,1.2310591650302583,0.9882121744196936,0.07094711569252728,0.07352445176995429,0.7545799073092301,0.7542485007376706,0.7544142040234503,0.07110889479893964,0.0,0.012061861284367557,-8.52247716842669e-11,0.14764129875229998,0.37933248885429305,0.47302621239340714,1.1102230246251553e-16
2019-09,2019-08,Slowdown,-0.015309904273822667,-0.01499626325676944,2.270276166388724,-0.015309904273822617,0.09400459128237794,0.00028201377384713385,3.1627243206093225e-05,combined,True,False,False,0,Optimization terminated successfully,8,-0.7267435142960996,0.006256237571527965,0.0004131049461835941,0.07507485085833558,0.07040780748044302,1.066285878582271,0.9879397703116791,0.07259622118123402,0.0752962673895157,0.7268789564306315,0.7266080721615679,0.7267435142960996,0.07040780748044277,0.0,-2.498001805406602e-16,0.009225276187391745,0.23042947058676605,0.331082276328883,0.43848825308435113,0.0
2019-10,2019-09,Slowdown,0.0007950986824816275,0.0009293126768943593,2.2720812599774893,-0.014526978476057884,0.04080020731002566,0.00012240062193007698,1.1813372482654933e-05,combined,True,False,False,0,Optimization terminated successfully,8,-0.7402945103809462,0.005146813070167518,0.00041638709393658567,0.06176175684201021,0.07068695160522222,0.8737363182237918,0.9901492506383808,0.0592634342783907,0.06105472211110849,0.740294900838592,0.7402941199233003,0.7402945103809462,0.07068695156695157,0.0,-3.827065053751966e-11,0.00898072388093718,0.20717009470321895,0.35036176440086264,0.4424681408959183,2.775557561562907e-17
2019-11,2019-10,Slowdown,-0.006455540849432953,-0.006186740899294268,2.2574137465904736,-0.02088873982251982,0.08916449966861179,0.00026749349900583535,1.3064511328490236e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.7459884404465931,0.005553042714408894,0.00041604758045407604,0.06663651257290673,0.07065812738425009,0.9430834787133094,0.9893407984350243,0.06414022709018227,0.06624190427856583,0.7460040191594054,0.7459728617337807,0.7459884404465931,0.0706581273819475,0.0,-2.302588675284767e-12,0.027589162049599103,0.29598299530858674,0.25728453666089707,0.4467324680305162,0.0
2019-12,2019-11,Slowdown,0.03184408229956499,0.03193674356735684,2.32929901572107,0.0,0.02890372080712128,8.671116242136384e-05,5.950105370485681e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.7586339384422736,0.005839550714683746,0.00041441546287598413,0.07007460857620496,0.0705193984270414,0.993692659597818,0.9887694143860578,0.06758811579894905,0.06992453269938022,0.7586684829516368,0.7585993939329103,0.7586339384422736,0.0705193984266268,0.0,-4.145989107584569e-13,0.02444588699940095,0.3173068919594962,0.23193717878587317,0.4507559292546301,4.464742958108532e-16
2020-01,2019-12,Slowdown,0.023843477887697865,0.024076069482563998,2.384837605296252,0.0,0.0744805945208857,0.00022344178356265712,9.149811303475281e-06,combined,True,False,False,0,Optimization terminated successfully,8,-0.772332096798181,0.005922795983845453,0.00042104185588556114,0.07107355180614544,0.07108095575206297,0.9998958378395565,0.9886105294004608,0.06854730067083206,0.07095128046694453,0.7724913969973405,0.7721727965990217,0.772332096798181,0.07108095575206051,1.1102230246251565e-16,-2.456368441983159e-15,0.023841952664301724,0.25429585457296977,0.2804468146625004,0.4652573307645297,0.0
