date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-03-21,ALL,전체,3564290,8904080,5339790,123147639390,287720330200,164572690810
2002-03-22,ALL,차익,919684,4014110,3094426,25032117160,104019009350,78986892190
2002-03-22,ALL,비차익,5258815,7787612,2528797,175583806800,248924762120,73340955320
2002-03-22,ALL,전체,6178499,11801722,5623223,200615923960,352943771470,152327847510
2002-03-25,ALL,차익,774970,1651568,876598,20855098080,42654928550,21799830470
2002-03-25,ALL,비차익,4837712,3971157,-866555,160148793360,131941589320,-28207204040
2002-03-25,ALL,전체,5612682,5622725,10043,181003891440,174596517870,-6407373570
2002-03-26,ALL,차익,66651,2777034,2710383,2041352230,74370593090,72329240860
2002-03-26,ALL,비차익,1537687,9244442,7706755,54675246200,287400993300,232725747100
2002-03-26,ALL,전체,1604338,12021476,10417138,56716598430,361771586390,305054987960
2002-03-27,ALL,차익,219914,4922000,4702086,9145752080,138224096750,129078344670
2002-03-27,ALL,비차익,1849974,3863615,2013641,72643403050,134929347500,62285944450
2002-03-27,ALL,전체,2069888,8785615,6715727,81789155130,273153444250,191364289120
2002-03-28,ALL,차익,319190,2008610,1689420,8684419800,54926247100,46241827300
2002-03-28,ALL,비차익,3819964,2782110,-1037854,122633161500,108022628600,-14610532900
2002-03-28,ALL,전체,4139154,4790720,651566,131317581300,162948875700,31631294400
2002-03-29,ALL,차익,91250,3189660,3098410,2458232050,88008212500,85549980450
2002-03-29,ALL,비차익,3120471,2823322,-297149,117746966050,97447139480,-20299826570
2002-03-29,ALL,전체,3211721,6012982,2801261,120205198100,185455351980,65250153880
2002-04-01,ALL,차익,7232595,223410,-7009185,198904973340,5987715800,-192917257540
2002-04-01,ALL,비차익,9876864,3925361,-5951503,312651915150,185806671410,-126845243740
2002-04-01,ALL,전체,17109459,4148771,-12960688,511556888490,191794387210,-319762501280
2002-04-02,ALL,차익,1031670,3283512,2251842,29009911730,88067940920,59058029190
2002-04-02,ALL,비차익,2168208,7340243,5172035,81311570650,219310405170,137998834520
2002-04-02,ALL,전체,3199878,10623755,7423877,110321482380,307378346090,197056863710
2002-04-03,ALL,차익,2768192,2226810,-541382,79663492540,67533024600,-12130467940
2002-04-03,ALL,비차익,6120814,4447774,-1673040,215974474150,153138945120,-62835529030
2002-04-03,ALL,전체,8889006,6674584,-2214422,295637966690,220671969720,-74965996970
2002-04-04,ALL,차익,376486,3314356,2937870,10066602100,89765661860,79699059760
2002-04-04,ALL,비차익,3343331,3864172,520841,134186201900,127511598400,-6674603500
2002-04-04,ALL,전체,3719817,7178528,3458711,144252804000,217277260260,73024456260
2002-04-08,ALL,차익,1800734,3104370,1303636,45857041420,81893375400,36036333980
2002-04-08,ALL,비차익,5541755,3726353,-1815402,166015421510,123774426280,-42240995230
2002-04-08,ALL,전체,7342489,6830723,-511766,211872462930,205667801680,-6204661250
2002-04-09,ALL,차익,1443630,4370666,2927036,37719624200,111383306760,73663682560
2002-04-09,ALL,비차익,2519596,3785627,1266031,87613785950,123318453910,35704667960
2002-04-09,ALL,전체,3963226,8156293,4193067,125333410150,234701760670,109368350520
