month,signal_month,regime,p_growth_high,p_inflation_high,gross_return,return,turnover,trade_cost,fx_cost,nav,drawdown,w_KODEX200,w_BOND,w_GLD,w_USO
2012-10,2012-09,Slowdown,0.12972941849670083,0.12298497267759563,-0.01783016710147721,-0.017833998071535635,0.0012217912948272046,3.665373884481614e-06,1.6559617394512615e-07,1.879523165837205,-0.01783399807153563,0.1622704933289778,0.5528931872472956,0.28483631942372656,0.0
2012-11,2012-10,Slowdown,0.13751501594797233,0.11996179769546784,-0.006470121914578994,-0.0064754876893982315,0.001739526002053543,5.218578006160629e-06,1.471968130769552e-07,1.8673523367148874,-0.024194001925968767,0.15533543467843208,0.5667880200104101,0.27787654531115796,0.0
2012-12,2012-11,Slowdown,0.14110590066030196,0.08401965768513812,0.004767643748720171,0.004762464235777743,0.0015770574129117562,4.731172238735269e-06,4.48340703692679e-07,1.8762455354340881,-0.019546760759083792,0.15833687033860674,0.5711594652732164,0.27050366438817686,3.395416272363588e-17
2013-01,2012-12,Slowdown,0.10853538275213466,0.05338424380108984,0.003261386405195707,0.0032551220588784855,0.0019805407689718582,5.941622306915575e-06,3.227240103063911e-07,1.882352943664352,-0.01635526579233182,0.16331314107726402,0.5693608392727942,0.26732601964994174,1.35373060254182e-17
2013-02,2013-01,Slowdown,0.18639738946175358,0.04453525918237906,-0.006701382668667466,-0.006703176856863095,0.0005459769314714361,1.6379307944143083e-06,1.5625740121549825e-07,1.869735198975933,-0.022948810410047926,0.15765127442910346,0.5707440949031386,0.27160463066775803,4.614635496641428e-18
2013-03,2013-02,Slowdown,0.12072600395532658,0.041871151878511544,0.004817441548547661,0.0048124451737726415,0.0015263227062823508,4.578968118847053e-06,4.174066561724588e-07,1.8787331971104775,-0.01824680512817689,0.16315942320055477,0.5795094345637719,0.25733114223567327,0.0
2013-04,2013-03,Slowdown,0.1688976925364513,0.04778186292041602,-0.02424348004487254,-0.024246025181021296,0.0007434614059292077,2.2303842177876234e-06,3.147519309650293e-07,1.8331813847049163,-0.042050417812587226,0.15905059178276093,0.5802423285344859,0.2607070796827532,0.0
2013-05,2013-04,Slowdown,0.1935369662345272,0.032478221367110253,-0.009972500145531157,-0.009976542271252331,0.0013311312603876413,3.993393781162924e-06,4.8731940010413036e-08,1.814892573129535,-0.0516074423130084,0.15624912241288172,0.5984435689748098,0.2453073086123085,0.0
2013-06,2013-05,Slowdown,0.21132699912225306,0.029243336362259578,-0.04053180511118194,-0.04060257975954626,0.023278241101795723,6.983472330538717e-05,9.399250589312707e-07,1.7412032526740349,-0.09011462677985449,0.13982860540081726,0.6230628347947221,0.23710855980446072,1.627334717742947e-17
2013-07,2013-06,Slowdown,0.2048516746411483,0.031030942538653128,0.020653535770197427,0.020533470868201027,0.0379589160485188,0.0001138767481455564,6.1881538508444524e-06,1.776956198938434,-0.07143152197543645,0.10848848764835717,0.6810966966451478,0.21041481570649495,5.79878219251705e-18
2013-08,2013-07,Slowdown,0.19782335514503227,0.07416684280983583,0.01130931055393915,0.011278053529524438,0.009849331561312385,2.9547994683937156e-05,1.7090297307747888e-06,1.796996806069682,-0.06095907697444636,0.10356596542746237,0.6799988591970134,0.21643517537552429,0.0
2013-09,2013-08,Slowdown,0.19346489141685505,0.0872030108085406,-0.014164726764297787,-0.014175003593835323,0.003244541272087724,9.733623816263172e-06,5.432057212715336e-07,1.7715243698855336,-0.07426998543309205,0.10576490924612551,0.6714077204941483,0.22282737025972618,0.0
2013-10,2013-09,Slowdown,0.17378229069405537,0.07608624708624709,0.0043962378378035625,0.0043737008222755735,0.006439147293711353,1.931744188113406e-05,3.2195736468556417e-06,1.779272487478783,-0.07022111930717567,0.10985996633969347,0.6793352443790904,0.21080478928121602,0.0
2013-11,2013-10,Slowdown,0.26838642199088886,0.04094428943160799,-0.014455471825602525,-0.014524446056956021,0.022322414565996138,6.696724369798841e-05,2.006987655508677e-06,1.7534295402137716,-0.0837256425046955,0.13045982155519406,0.6554814224319214,0.21405875601288446,0.0
2013-12,2013-11,Slowdown,0.2501769429699197,0.052152597507762216,-0.0004927802896738443,-0.0005198080863462916,0.008587839102374664,2.5763517307123994e-05,1.2642793653232093e-06,1.75251809335993,-0.08420192932503334,0.12780139864689846,0.6711630592649619,0.20103554208813962,0.0
2014-01,2013-12,Slowdown,0.2308942695370466,0.08063157288155128,0.006359154867033455,0.006326634243520658,0.009498964542314914,2.8496893626944744e-05,4.023729885852465e-06,1.7636056343417705,-0.07840800989095087,0.11703946978285429,0.6772476133159606,0.20571291690118518,1.0975681249005925e-18
2014-02,2014-01,Slowdown,0.21391444635833712,0.09697420634920635,0.01925817895241249,0.019207111522237467,0.014590694335720765,4.3772083007162295e-05,7.295347167860386e-06,1.7974794044418192,-0.060706889758925686,0.12311789376294592,0.6768044940305876,0.2000776122064665,1.3106343944537068e-18
