month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2015-03,0.011911340332780629,0.011911340332780629,3.074505046127703,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-04,-0.007705843092045472,-0.007705843092045472,3.050813392656541,-0.007705843092045472,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-05,0.004647181117769517,0.004647181117769517,3.0649910750487326,-0.003094472422789818,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-06,-0.0018259281801583649,-0.0018259281801583649,3.059394621472867,-0.004914750318548711,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-07,0.004024390243902332,0.004024390243902332,3.0717068193397696,-0.0009101389478796129,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-08,0.006073120369245677,0.006073120369245677,3.090361664592653,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-09,0.008511408909815277,0.008511408909815277,3.1166649963992183,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-10,0.0013766684623213177,0.0013766684623213177,3.120955610807382,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-11,-0.005738194859533863,-0.005738194859533863,3.1030469593646135,-0.005738194859533863,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-12,0.008957556811350242,0.008957556811350242,3.1308426787914097,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-01,0.008758863135315487,0.008758863135315487,3.1582653013131483,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-02,0.006792675723567454,0.006792675723567454,3.1797183733539636,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-03,0.0014080375476679396,0.0014080375476679396,3.1841955362146557,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-04,0.0018161579471556166,0.0018161579471556166,3.189978538243049,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-05,0.0029824561403508643,0.0029824561403508643,3.19949250932202,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-06,0.01545099411113049,0.01545099411113049,3.2489278492421607,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-07,0.002813504823151236,0.002813504823151236,3.258068723416074,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-08,-0.004752361866590449,-0.004752361866590449,3.2425852018561803,-0.004752361866590449,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-09,0.0050051777701070055,0.0050051777701070055,3.258814917226189,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-10,-0.012135783387715371,-0.012135783387715371,3.2192666452900762,-0.012135783387715371,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-11,-0.015414034884394745,-0.015414034884394745,3.1696447569174064,-0.02736275688362244,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2016-12,0.0051203578365017766,0.0051203578365017766,3.185874472287415,-0.02238250615375814,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-01,0.0002927743295468854,0.0002927743295468854,3.1868072145500594,-0.02209628484744397,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-02,0.0023415091026164347,0.0023415091026164347,3.194269152651212,-0.01980651439693193,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2017-03,-0.016623808737559694,-0.013123808737559695,3.1411682332012516,-0.03610106342739916,1.0,0.003,0.0005,,1.0,0.0,0.0,0.0,1.0,0.0
2017-04,-0.0015716414421784145,0.0019283585578215856,3.1362314430290983,-0.037615966942188384,1.0,0.003,0.0005,,1.0,0.0,0.0,1.0,0.0,0.0
2017-05,0.0018080018663244601,0.0018080018663244601,3.1419017553313204,-0.03587597481429894,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
